course_code,course_name,credit_hours,description
ACCT 100,Practical Accounting,4,A course for non-accounting majors to familiarize students with small business accounting or for students desiring a practical knowledge of principles before ACCT 101 . The course covers the complete accounting cycle of both mercantile and personal services enterprises. It is designed to provide a better understanding of business procedures and the accounting phase of business. This course is used as a requirement or elective depending on degree requirements.
ACCT 101,Accounting Principles I,4,"This course introduces concepts and techniques basic to the solution of record keeping problems of a business enterprise. It deals with the methods of recording, reporting, and interpreting the financial data of the business unit. Topics include adjusting entries, closing entries, cash control, receivables, inventory, fixed assets and current liabilities. Prerequisite: R, M."
ACCT 102,Accounting Principles II,4,"This course covers accounting for corporations, investments and cash flows. In addition, the students are introduced to managerial accounting concepts. Topics include standard costs, job and process costing, budgeting and financial statement analysis. Prerequisite: “C” or better in ACCT 101 ."
ACCT 105,Accounting with Computers,3,"A course designed to teach students how to perform the accounting cycle with QuickBooksPro software. This course covers the complete accounting cycle and includes computerization of accounts receivable, accounts payable, and payroll. Prerequisite: ACCT 101 ."
ACCT 110,Payroll Accounting,3,"Payroll Accounting provides an in-depth study of payroll procedures. Included are a discussion of employees and independent contractors, how to calculate gross wages for hourly and salaried employees, mandatory and voluntary withholdings, employer taxes, record payroll, and state and federal record keeping requirements. Current tax rates and current tax forms will be used. Completion of a payroll practice set is required. Prerequisite: ACCT 100 or ACCT 101 ."
ACCT 210,Intermediate Accounting I,4,"This course covers the accounting process and basic concepts and principles, the definition and measurement of assets, measuring revenue expense and period-end adjustments in determining net income. Course objectives: to provide students with the knowledge of the intricate treatment of assets in an accounting system, to enable students to analyze accounting statements, and to provide students with the capability of dealing with the detailed and varied accounting procedures that pertain to assets and their adjustments. Prerequisite: “C” or better in ACCT 102 ."
ACCT 211,Intermediate Accounting II,4,"This course covers the definition and measurement of liabilities and capital, financial statement analysis, treatment of accounting errors. Course objectives: to provide students with the knowledge of the intricate treatment of liabilities and capital accounts in the accounting system, to provide students with the capability of dealing with the detailed and varied accounting procedures as they pertain to liabilities and capital accounts. Prerequisite: “C” or better in ACCT 102 ."
ACCT 215,Cost Accounting I,4,"This course covers the objectives, systems, and techniques of cost accounting, the process, job order, and standard cost system, managerial use of cost information for profit planning, control, and decision-making. Course objectives: to familiarize the student with cost accounting objectives and systems, to provide the student with the capability of working with process costs, job order costs, and standard cost processes, to develop a knowledge of how to budget and plan utilizing cost accounting data. Prerequisite: ACCT 102 ."
ACCT 216,Taxation I,4,"A course covering an overview of federal and state personal income tax. An introduction to corporate and business taxes, including sales and use taxes, as well as payroll tax forms and regulations."
ACCT 272,Accounting Co-op,3,"Students who have substantially completed the requirements for the two-year associate degree in accounting are provided with an opportunity to earn credit by working in an approved accounting job situation. Co-op education means working for pay under the guidelines of the co-op education program at Bay College. Some internships (non-pay) positions may occasionally be available. Prerequisites: ACCT 210 , 2.75 GPA in Accounting, and approval of division chairperson. Co-ops may require that the student pass a criminal background check."
ANTH 201,Introduction to Cultural Anthropology,3,"This course will present a broad understanding of the field of cultural anthropology that includes world cultures, ethnicity and race, language, political systems, gender, marriage, religion, art, and an appreciation of the breadth and complexity of the human condition. Also included will be research ethics and methods. Meets Humanities and Social & Behavioral Science requirement. Prerequisite: R."
ANTH 201H,Introduction to Cultural Anthropology-Honors,3,"This course will present a broad understanding of the field of cultural anthropology that includes world cultures, ethnicity and race, language, political systems, gender, marriage, religion, art, and an appreciation of the breadth and complexity of the human condition. Also included will be research ethics and methods. Meets Humanities and Social & Behavioral Science requirement. This is an Honors course which requires additional work and academic rigor. Prerequisite: R and acceptance into the Honors Program."
AUTO 100,Automotive Engines,5,The objective of this course is to provide the theoretical background necessary to understand the operation of the internal combustion engine. Students will have the opportunity to use the special tools and equipment necessary for servicing engines.
AUTO 110,Automotive Brakes,5,"This course is designed to present to the student the basic theory of operation of automotive brake systems. The course will include how to use electronic service information, suggested manufacturer service procedures, and the proper use of special tools to service present automotive brake systems. Corequisite: AUTO 120 ."
AUTO 120,Automotive Electrical I,5,"This course is designed as an overview of automotive electrical/electronic systems. Instruction and lab activities will build from basic electrical principles through microprocessor controls. The use of a variety of electrical measurement, diagnostic equipment, and wiring diagrams are an essential part of this course."
AUTO 130,Automotive Standard Transmissions & Power Trains,4,"The primary objective of this course is intended to provide the student with a fundamental understanding of the automotive power train. Students will use reference manuals, hand tools, and specific equipment in working with transaxles, transmissions, universal joints, CV joints, and differentials."
AUTO 140,Automotive Engine Performance I,5,The objective of this course is to provide the student with a basic understanding of the theory and operation of ignition and fuel systems. Emphasis is placed on the study of specific functions in structure and servicing of modern ignition and fuel systems. Corequisite: AUTO 120 .
AUTO 150,Automotive Suspension & Steering,5,"Using special tools and equipment, this course presents the basic theory of operation, servicing automotive suspension and steering, and four- wheel alignment."
AUTO 200,Automotive Engine Performance II,5,"This course is a continuation of AUTO 140 . It is an introduction to information and diagnosis of engine emissions and performance conditions related to basic mechanical, fuel injection, engine management, and ignition systems. The course includes theory of system operation with an emphasis on systematic troubleshooting. There will be hands-on exercises and special tool usage, including scan tools, dvom, inductive ammeter, exhaust gas analyzer, engine/ignition secondary analyzer and signal scopes. Prerequisite: AUTO 120 & AUTO 140 ."
AUTO 220,Automotive Electrical II,5,"An in-depth study of the operation, diagnosis, and repair of automotive body and chassis electrical/electronic systems. Includes the study of lighting, wiper-washer, power window/seat/door locks, instrumentation, inflatable restraints, cruise control, anti-theft, suspension/steering, and audio systems. Course content will also include a study of the operation, testing, diagnosis and service of automotive battery, charging, and cranking systems. Prerequisite: AUTO 120 ."
AUTO 230,Automatic Transmissions,5,"This course is designed to present to the student the basic theory of operation of automatic transmissions. Through the use of training transmissions, the student will disassemble, inspect, measure, test, adjust, and reassemble these training transmissions according to the manufacturer specifications. Prerequisite: AUTO 130 ."
AUTO 270,Automotive HVAC Systems,3,"Automotive Heating, Ventilation, and Air Conditioning. In-depth study of automotive heating, ventilation, and air conditioning systems. The course includes theory of operation, diagnosis, and repair of HVAC systems. Environmental safety issues are stressed including laws and regulations, CFC recovery and recycling, ozone depletion, and new, environmentally safe systems. Computerized automatic temperature controlled systems are also covered. Prerequisite: AUTO 120 ."
AUTO 272,Automotive Service Co-op,6,"This cooperative work experience is designed to provide the student with on-the-job training opportunities. Prerequisites: Completion of two semesters of the Automotive Technology Program, a valid drivers license, and instructor recommendation. Co-ops may require that the student pass a criminal background check."
BIOL 090,Fundamentals of Biology,3,"Developmental in nature, this course is designed to familiarize those students who have weak backgrounds in high school science with the world of science in general and human biology in particular. Being developmental, this course does not fulfill requirements toward any degree."
BIOL 103,Essential Biology,4,"This course is a single semester survey of the most important biological concepts and issues relevant to life on earth including evolution, genetics, and ecology. It is designed to fulfill general education requirements for non-science, liberal arts majors. If you plan to transfer to a four year institution and major in engineering, social science, computer science, or any basic or applied physical or life science, you should take BIOL 110 and BIOL 112 instead of this course. (Note: There are no dissections in lab). Prerequisite: E, M, R. Students will benefit from having had a least one year of natural science in high school or BIOL 090 ."
BIOL 104,Human Biology,4,"This course emphasizes human structure and function at the chemical, cellular, tissue, organ, organ system, and organismal levels. It is designed primarily for the social scientist and to fulfill general education requirements for non-science, liberal arts majors. It typically does not transfer for credit as part of a biology major. (Note: Dissections are a required part of lab. Students will benefit from having had at least one year of natural science in high school or BIOL 090 ). Prerequisites: E, R."
