course_code,course_name,credit_hours,description
ACE 101W,Career Professional Development I,2,"Introduces planning and goal setting. Provides opportunities for team building. Practices skills essential in the workplace. Introduces employment portfolio to manage academic and career information. Evaluates the student in a program-related, supervised worksite."
ACE 102W,Career Professional Development II,2,"Continues from Career Professional Development I with additional responsibilities at the worksite. Explores work cultures and diversity. Develops team-building skills in a virtual setting. Continues development of employment portfolio and improves job interviewing skills. Continues practicing and developing essential skills necessary in the workplace. Evaluates the student in a program-related, supervised worksite."
ACE 201W,Career Work Experience - Business & Human Services,2,"Continues from Career Professional Development II with additional responsibilities at the worksite. Provides further opportunity to produce and exchange professional communications and demonstrate continuous improvement in professional skill sets. Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator. Credit can be earned in ACE 201W, ACE 202W , ACE 203W or ACE 204W but not more than two courses (4 credits)."
ACE 202W,Career Work Experience - Communications & Sciences,2,"Continues from Career Professional Development II with additional responsibilities at the worksite. Provides further opportunity to produce and exchange professional communications and demonstrate continuous improvement in professional skill sets. Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator. Credit can be earned in ACE 201W , ACE 202W, ACE 203W or ACE 204W but not more than two courses (4 credits)."
ACE 203W,Career Work Experience - Health,2,"Continues from Career Professional Development II with additional responsibilities at the worksite. Provides further opportunity to produce and exchange professional communications and demonstrate continuous improvement in professional skill sets. Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator. Credit can be earned in ACE 201W , ACE 202W , ACE 203W or ACE 204W but not more than two courses (4 credits)."
ACE 204W,Career Work Experience - Technical & Industrial,2,"Continues from Career Professional Development II with additional responsibilities at the worksite. Provides further opportunity to produce and exchange professional communications and demonstrate continuous improvement in professional skill sets. Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator. Credit can be earned in ACE 201W , ACE 202W , ACE 203W or ACE 204W but not more than two courses (4 credits)."
ACE 280W,Internship: Technology Management,1,"Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator."
ACE 285W,Internship: Design Technology,1,"Integrates, reinforces, and documents the student’s academic studies with related career experience of at least 180 hours at an approved worksite. Evaluations are made by the employer/site supervisor and the college coordinator."
ACC 110,Introduction to QuickBooks,1,"Introduces the use of QuickBooks to assist in the basic accounting function in a small business or office environment. This course is appropriate for students seeking to obtain basic accounting skills to add to their skillset. Designed for students working in office systems, small business management, skilled trades, or medical programs."
ACC 111,Introductory Accounting,4,"Practices basic accounting procedures including journalizing, posting, preparation of financial statements, special journals, subsidiary ledgers, petty cash fund, bank reconciliation, and payroll accounting. Not recommended if credit has already been earned in ACC 211 ."
ACC 121,Accounting for Managers,3,"Develops ability to use accounting information in planning, evaluating and decision-making as a business manager. This course is appropriate for students in business, trades, and dual-degree programs. May be substituted for ACC 111 in most programs."
ACC 211,Principles of Financial Accounting,4,"Introduces basic concepts of accounting principles. Includes the accounting cycle for service and merchandising businesses, internal control, accounting for current assets, long-term assets, current liabilities, and owner’s equity. Recommended for transfer students."
ACC 212,Principles of Managerial Accounting,4,"Includes a study of corporate basic theory and methodology, statement of cash flows, accounting for manufacturing operations, and accounting data as used in performance measurement, decision making, planning, and control."
ACC 214,Computerized Accounting,3,"Introduces microcomputer applications in general ledger, accounts receivable, accounts payable, payroll, and inventory/invoicing. Outside laboratory assignments are required."
ACC 215W,Federal Tax Accounting,3,Studies the Federal income tax law. Emphasizes core income tax principles and relates them to individual and business entity applications. Includes preparation of individual and business entity tax returns.
ACC 217,Volunteer Income Tax Assistance (VITA) Preparation,1,"Provides instruction in preparation of federal, state, and local individual income tax returns to prepare for practical experience in the preparation of these returns. Must also enroll in ACC 218 in Winter Semester for service learning to prepare income tax returns for qualifying community members through the VITA program. Credit may be earned in ACC 217 and ACC 218 , or ACC 216W ."
ACC 218,Volunteer Income Tax Assistance (VITA),1,"Provides instruction in preparation of federal, state, and local individual income tax returns, including practical experience. Provides service to qualifying citizens within the tri-county district by preparing income tax forms and filing electronically. Requires 30 hours of service-learning. Credit may be earned in ACC 217 and ACC 218, or ACC 216W."
ACC 219,Data Skills For Accounting,3,"Presents spreadsheet features using accounting applications. Emphasizes features and techniques to develop solutions to spreadsheet and accounting problems that focus on developing data analytic skills. Spreadsheet skills include report formatting, tables, pivots, look ups and macros. Introduces a business analytics tool to create interactive data visualization."
