course_code,course_name,credit_hours,description
ACCT-109,Payroll Accounting,2,"This course has been developed to provide the student with a  basic understanding of the calculations in payroll, the payroll records that are kept, and the laws pertaining to tax filing for payroll.  This is a beginning course that involves computation and recording of payroll entries."
ACCT-111,Principles Of Accounting I,4,"The first introductory accounting course for the student who wishes to pursue a career in the field of business.  The student will become familiar with the role of the accountant and manager in service and merchandising businesses.  The course will include the recording and reporting of business transactions and the measuring, planning, and controlling of business income, assets, and equities.  Major emphasis will be placed on the sole proprietorship form of business organization."
ACCT-112,Principles Of Accounting Ii,4,"A second semester course in accounting principles and concepts  for the accounting or managerial student.  The student will   investigate the role of the accountant in partnerships and corporations, with emphasis on financial and cost-accounting concepts as well as branches and departments, and owner's equity."
ACCT-113,Quickbooks For Accounting,2,"This accounting course will provide the student with an understanding of QuickBooks accounting. The student will recieve instruction and experience with QuickBooks software through a smiluated business scenario.  Accounting principles and logical problem solving will be utilized.  Instruction will include how to set up a business, maintain and use the software and generate financial reports."
ACCT-204,Sm Bus Tax Accounting,2,An introductory tax course with emphasis placed on tax return preparation for small businesses.  Accounting for taxable revenues and tax deductible expenses will be emphasized.
ACCT-210,Income Tax Accounting,3,This course is an introductory tax course with emphasis placed on tax return preparation for businesses and individuals.  Students will investigate laws involved in tax accounting with secondary emphasis on tax theory.
ACCT-213,Cost Accounting,3,"A basic course in the theories and practices underlying the development of cost information for financial control and decision making.  As manufacturing, service, and distribution establishments strive to enhance their profits and reduce consumer prices, the study and control of costs become increasingly important.  The student will gain an understanding of techniques used to control cost for profit by management.  This is an excellent course for the aspiring business administration and accounting major because it will give insight into the areas of profit and loss control."
AGT-101,Hydraulic Theory & Operation,2,"A study of hydraulic theory and the maintenance, repair and methods of troubleshooting mobile hydraulic systems during lab experience.  Also covered in this class are cylinders, controls, pumps and accessories of hydraulic equipment.   *2 credit hours/4 billed contact hours*"
AGT-102,Production Agriculture,2,"Production agriculture studies how to identify and resolve environmental issues. Class covers crop production and farming by means of soil science, plant growth, pest control, agricultural leadership, equipment safety/operation and daily farm maintenance.   *2 credit hour/3 billed contact hours*"
AGT-103,Fundamentals Of Engines,3,"Examines internal combustion engine fundamentals and diesel engine construction and maintenance.  Studies the basics of gas and diesel engines including disassembly, measurement and assumbly procedures.  Troubleshooting is also covered.  *3 credit hours/7 billed contact hours*"
