course_code,course_name,credits,description
ACT-190,Co-op in Architecture Construction Technology,1.00,"Cooperative education is a structured method of combining classroom-based education with practical work experience. A cooperative education experience, commonly known as a “co-op,” provides academic credit for structured employment experience. Work experience must be directly related to the student’s declared major to be eligible. To register for this course, a student must have completed 50% of core coursework, maintain an overall GPA of 2.0 and a program specific GPA of 2.5."
ACT-290,Co-op in Architecture Construction Technology,2.00,"Cooperative education is a structured method of combining classroom-based education with practical work experience. A cooperative education experience, commonly known as a “co-op,” provides academic credit for structured employment experience. Work experience must be directly related to the student’s declared major to be eligible. To register for this course, a student must have completed 50% of core coursework, maintain an overall GPA of 2.0 and a program specific GPA of 2.5."
ACT-297,Special Topics in Architecture/Construction,1.00,"Explores selected topics as determined by the academic department and the instructor with emphasis on current Architecture/Construction trends. Specific special topic are announced together with the prerequisites each term. Course can be repeated when different topics are offered, allowing students to earn credit for each different topic. May be used toward fulfilling the specific degree requirements for an associate degree or certificate."
ACT-298,Special Topics in Architecture/Construction,2.00,"Explores selected topics as determined by the academic department and the instructor with emphasis on current Architecture/Construction trends. The specific special topic will be announced together with the prerequisites each term. Course can be repeated when different topics are offered, allowing students to earn credit for each different topic. May be used toward fulfilling the specific degree requirements for an associate's degree or certificate."
AH-100,Medical Terminology,4.00,Presents health and disease medical terminology in relation to human structure and function. Introduces key elements in the formation and modification of medical terms which then is applied to specific body systems.
AH-105,Basic Life Support for Healthcare Providers,0.50,"Designed for individuals working in healthcare or for health career and nursing students preparing for their clinical assignments. Course introduces the theory and skills of CPR for victims of all ages. Features ventilation with a barrier device, a bag-mask device, supplemental oxygen, use of automated external defibrillator (AED), and relief of foreign-body airway obstruction. Upon successful completion of the course, including both written and skills testing, the student receives an American Heart Association healthcare provider card (valid for two years)."
AH-121,Basic Lactation Concepts,3.00,The first course in a two-semester sequence that examines basic lactation concepts including the history of breastfeeding: Breastfeeding Then and Now; Breastfeeding data; Breast Embryology and Anatomy; Relevant Infant Anatomy; Components of Human Milk; and Lactogenesis and Milk Production.
AH-122,Applied Principles of Breastfeeding,4.00,The second course in the two semester sequence that begins withAH-121.  The course further instructs students in application of lactation concepts to clinical practice. Normal physiology of lactation and symptoms and treatments of lactation complications will be discussed.
AH-131,Medico Legal Principles for Health Care Practitioners,3.00,Provides a core foundation of the basic legal issues specific to the health care practitioner. Focuses upon laws related to the delivery of care as well as health care employment issues.
AH-132,Introduction to Healthcare Professions,3.00,"This course is designed to introduce students to various health care professions.  It includes skills  and topics common to all healthcare providers such as ethical and legal issues, professionalism, cultural considerations, vital signs, body mechanics, communication, infection control, and evidence based practice.  This course will also introduce key elements in the formation and modification of medical terms. This course has a lab hands on component."
AH-141,Introduction to Public Health,3.00,"Provides a broad overview of the various aspects of public health in the United States. Presents applications, stakeholders, and methods of public health in a way that allows for the identification of strengths and limitations of the current model of care delivery. Also offers an overview of careers available in the area of public health."
AH-151,Introduction to Community Health,3.00,"This is an introduction to community health.  Providing awareness of biological, psychosocial, cultural, economic, philosophical, political, ethical, and environmental impact of the health of individuals and the community.  It covers factors and determinants of health and individual wellness, history, and predictions for the future."
