course_code,course_name,credit_hours,description
ACCO 101,General Accounting,4,"Students will learn about financial accounting procedures with emphasis on the accounting cycle. Apply internal controls to an accounting system, account for cash, accounts receivable, bad debts, inventories, long-lived assets, current liabilities and payroll. Generally Accepted Accounting Principles (GAAP) will be applied. Lab Fee"
ACCO 102,General Accounting,4,This accounting class will expand the student’s knowledge of financial accounting. They will prepare a cash flow statement and be introduced to managerial and cost accounting while learning how they are used in management decision making. Students will be introduced to analyzing and interpreting financial statements. Lab Fee
ACCO 205,Computerized Accounting,4,"An accounting course designed to give the student hands-on experience processing financial records using a general ledger software package. Through the use of business projects, the student will become proficient in the use of accounts receivable, accounts payable, inventory, payroll, fixed assets, and general ledger. All projects will be completed using a Windows driven software package. Lab Fee"
ACCO 211,Intermediate Accounting,4,"A course designed to follow and expand upon the material learned in the accounting principles series. The course includes the study of cash, inventory, receivables, investments, property and equipment, current and long-term liabilities, and equity. The student will become proficient in using commercial accounting software on a microcomputer to maintain a general ledger and to prepare computerized financial statements. Lab Fee"
ACCO 251,Cost Accounting,4,"Cost accounting is the branch of accounting that deals with the planning, measurement, and control of costs. While all types of businesses (service, merchandising, and manufacturing) must have accurate and reliable cost information, the traditional focus of cost accounting has been on manufacturing costs and activities. Manufacturing is the transforming of raw materials into finished products by incurring factory costs. To reinforce the principles of cost accounting, the student will complete a practice set for a manufacturing company. Lab Fee"
ACCO 252,Income Taxation,4,"A comprehensive introductory course in tax return preparation. Emphasis will be placed on tax issues and return preparation for individuals and unincorporated businesses. The primary focus is on the development of working familiarity with tax forms, documentation, and solution of tax problems affecting individuals. Federal taxation emphasized. Lab Fee"
ACCO 299,Internship,3,"This internship is for students in the accounting and business programs. The course is designed to provide each candidate with the necessary analytical, problem-solving, decision-making, supervisory, and/or communication skills to be successful in a business environment. Students will practice the accounting, administrative, and/or supervisory duties in the existing marketplace. Topics in the workplace (including career selection and marketing, investing and retirement planning, professionalism, and ethical practices) will be the focus of the course. [16-32-48] Lab Fee Additional Information: Departmental approval needed."
AGRI 105,Agricultural Leadership,3,"Students will explore different types of leadership styles, discover their own leadership style, self concepts and attitudes as they relate to a career in Agriculture. They will also explore how to work with different personality types within the work world. The main focus is to provide students with the tools to be successful leaders of the agricultural industry. Additional Information: Formal admission to the KCC Agriculture Science partnership with Michigan State University required."
ALHE 100,Introduction to Computers in Health Occupations,2,"This course provides basic computer literacy and a comprehensive approach to digital literacy for healthcare professionals in the workplace. Students will learn and practice procedural and diagnostic coding. In addition, students will learn to navigate and manage electronic medical records (EMR) and practice patient scheduling."
ALHE 101,Medical Law and Ethics in Health Care,2,"This course provides an introduction to the legal implications and ethical considerations of working in the health care environment. Students will explore and discuss legal issues in health care from the perspective of the provider(s) and the patient. Topics include the scope of practice, the standard of care, and the Health Information Portability and Accountability Act (HIPAA). Students will also discuss the effect of personal morals on professional performance. At the completion of the course students will receive a professional certification in HIPAA compliance."
ALHE 102,Communication for Health Care Professionals,2,This course provides the student with the basic concepts of effective communication in the health care environment. Verbal and nonverbal communication and techniques for overcoming communication barriers in the health care environment will be discussed. Students will demonstrate the ability to report relevant patient information accurately and concisely to other health care professionals.
ALHE 103,Body Structure and Function for the Allied Health Professionals,3,"Anatomy and physiology for the health care professional provide a survey of the general principles of anatomical structures and physiological functions of the human body with an emphasis on medical applications. Students will participate in online laboratory skill development and a one day CPR certification training. The course has been designed for entry-level health care professionals. This course is not a substitute for BIOL 201 and BIOL 202 , which are requirements for other Associate in Allied Health Degree programs. Upon completion of this course students will receive a Health Care Professional CPR professional certification through the American Heart Association."
ALHE 104,Medical Office Procedures,3,"This course serves to orientate the student to the administrative duties within the ambulatory care setting. Students will explore the functions of the medical office, including scheduling, basic finance and third party reimbursement. The practice of preparing policies and procedures to ensure a safe environment for both employees and patients will also be discussed."
ALHE 106,Pathology and Prevention in Health Care,3,"This course discusses diagnostic and treatment measures for common pathologies found in health care. Students will identify common pathology related to each body system and discuss ways to educate patients on treatment, prevention, and proper nutrition. Students will also discuss and describe the basic principles of first aid in the ambulatory care setting."
ALHE 221,Radiation Physics and Protection,3,"The course provides students with the foundation needed to practice safely in the clinical setting. Students will discuss the principles of physics as they relate to radiation. Students will also discuss the importance of radiation monitoring, patient shielding, and the biological effects of radiation exposure."
ALHE 222,Phlebotomy,3,"This course is designed primarily for the allied health professional, and Phlebotomists in particular. Instruction will be through lectures, activities, simulated lab, and the clinical setting. Labs include drawing blood from each other, as well as, other laboratory functions. The student will gain an understanding of the theory of laboratory procedures, as well as, a command of the skills necessary to perform accurately and efficiently in a business/hospital setting. Students will demonstrate the ability to integrate and communicate ideas and information by participating in class discussions during a routine overview of the chapter or subject matter. This course is presented as a blended learning course with in-seat, online and clinical site components."
ALHE 223,EKG Technician Clinical Practice,4,"This course provides the student with the foundation to perform the clinical task of administering EKGs, as well as, Holter monitoring and stress testing. Students will learn to set up and administer EKGs (electrocardiograms) and stress tests, prepare patients for Holter or ambulatory monitoring, edit and deliver final test results to physicians for analysis and transcribe the physicians’ interpretations. The student will perform 80 hours in the clinical setting with an additional 16 hours in the college laboratory."
ALHE 224,Home Health Aide Certification,4,"This course provides the student with the skills necessary to effectively care for patients in their residence. Students will discuss fire safety, emergency situations, foodborne illness prevention and kitchen safety, domestic violence, resident rights, and end of life care. The student will shadow a home health aid three times during the course."
ALHE 225,Procedures and Pathophysiology: Spine and Orthopedic,3,"The course serves to provide the student with the knowledge necessary to practice radiography in ambulatory care settings, such as orthopedic and chiropractic offices. Students will discuss and perform routine procedures of the spine and extremities. In addition students will discuss the common pathologies seen in each procedure. The course requires the student to participate in laboratory exercises."
ALHE 226,Limited-Scope Radiography Clinical Practicum,3,"This course provides the student with a clinical externship allowing the student to incorporate and apply knowledge learned in the procedures and pathophysiology, and radiation physics and protection courses. Students will perform x-ray procedures under the direct supervision of an American Registry of Radiologic Technologists (ARRT) registered radiographer. The student will perform 192 hours in the clinical setting."
ALHE 227,Medical Terminology,2,"This course introduces students to basic medical terminology. Prefixes, suffixes, word roots, combining forms, special endings, plural forms, abbreviations, and symbols are included in the content. A self-paced computerized program allows the students to progress at their own rate. Emphasis is placed on spelling, definition, usage, and pronunciation."
ALHE 231,Electronic Medical Records,3,"The course prepares the student to manage and organize health information databases and registries ensuring the accuracy, accessibility, privacy and security of a patient’s health information. Students will evaluate patient records for completeness, accuracy, and relevance of data. Students will perform medical record audits to evaluate compliance."
ANIM 103,Introduction to Video Art,3,"In this video art course, students will learn basic video operation, cinematography, and non-linear editing with Apple Macintosh computers and industry-standard video editing software programs. Emphasis will be on a comprehensive understanding of the art of the moving image. Students will be challenged to develop their own ideas and showcase skills and techniques. Lab Fee General Education Requirement: Effective Communication - Applied Core"
ANIM 203,Intermediate Video Art,3,"In this video art course, students will further expand their knowledge of video operation, cinematography, and non-linear editing with Apple Macintosh computers and industry-standard video editing software programs. Emphasis will be on a comprehensive understanding of the art of the moving image. Students will be challenged to develop their own ideas and showcase skills and techniques. [48-48-96] Lab Fee"
ANIM 233,Introduction to 2-D Animation Techniques,3,"Students will study the basic principles of animation with an emphasis on the analysis of motion. An overview of the evolution of animation techniques will provide the student with examples of independent film work from early productions to the present day. Students will develop an understanding of basic animation terminology and will complete several individual animation exercises, as well as work on a group project. Appropriate software will be discussed and introduced within the context of each exercise. [48-48-96] Lab Fee"
ANIM 234,Introduction to 3-D Animation Techniques,3,"This course will explore the foundations of 3-D animation environments, as well as animation techniques unique to digital imagery. Students will develop a series of projects using software designed for the internet, as well as other 3-D computer-based platforms. Projects will explore a variety of possibilities for 3-D interactive design. Special regard will be given to portfolio development. [48-48-96] Lab Fee"
ANIM 235,Intermediate Animation,3,"Character development in a variety of methods will be explored by students in this course in order to enhance students’ understanding and appreciation for the effect of strong visual techniques. Further depth in the concepts of storyboards and production design will be explored. Students will learn layout scenes around character action, work with camera fields, deal with issues of composition, and create a mood. While advance instruction on the principles and concepts of character development will be used, students are encouraged to develop their own aesthetic. [48-48-96] Lab Fee"
