course_code,course_name,credit_hours,description
ACC 12100,Accounting Principles I,4,"Lecture-Lab: 4-0 Offered: F,W,S This course provides an introduction to fundamental accounting principles. The principles are applied to the recording of transactions as assets, liabilities, owner’s equity, income and expenses. The recorded transactions are then used in the preparation of financial statements - balance sheet, income statement and statement of owner’s equity for sole proprietorships and partnerships."
ACC 12200,Accounting Principles II,4,"Lecture-Lab: 4-0 Offered: F,W,S This course builds on the fundamental accounting principles taught in Accounting I. The class covers the recording of corporate stock and dividend transactions and the proper presentation of the stockholder’s equity section of the balance sheet. The course introduces management accounting concepts through analysis of financial statements, preparation of the statement of cash flows, the introduction to cost accounting concepts and an understanding of the need for and development of budgets. Prerequisite: ACC 12100 with a minimum grade of “C”,"
ACC 12500,Accounting with QuickBooks,4,"Lecture-Lab: 4-0 Offered: W Students will experience virtual QuickBooks accounting practices in the hands-on experience based course. The course will allow the student actual practice from business set-up, transactions, troubleshooting and reporting. Basic knowledge in accounting will be helpful but not necessary."
ACC 20500,Cost Accounting,3,"Lecture-Lab: 3-0 Offered: F In this course the student will gain understanding of cost accounting systems and procedures, how they are used for business strategy and strategic implementations, experiencing an analysis of key data for planning and controlling to assist in management decisions. Prerequisites: ACC 12100 and ACC 12200 ."
ALH 10101,Medical Terminology,2,"Lecture-Lab: 2-0 Offered: F,W,S This course is a survey study in the word-building system for medical terms. It covers word roots, combining forms, prefixes, suffixes, and medical word-building and decoding. Emphasis is placed on the correct spelling of terms, as well as definition and usage according to medical specialties. This course can be utilized by students who are planning a health career. Prerequisite: ENG 10305 or placement into ENG 10303 ."
ALH 10300,Professional CPR,0.25,"Lecture-Lab: 0.25-0 Offered: F,S This course provides information and practice for appropriate response in the event of cardiopulmonary emergency event (one-man, two-man, infant, child, AED & choking victim)."
ALH 10601,Introduction to Health Information Management,3,"Lecture-Lab: 3-0 Offered: F,W,S This course is designed to introduce the student to health information systems from a broad view of the health care industry to the basic elements of health information technology, through the physician’s office, acute care setting, and other health care environments. Introduces the structure and operations of healthcare organizations and the role of various disciplines; and health record content, data sets, licensure, accreditation, certification, and basic computer information systems that apply to health care. Prerequisite: ENG 10305 or placement into ENG 10303 ."
ALH 10801,Pathology w/Pharmacology,3,"Lecture-Lab: 3-0 Offered: F,W This course focus is on description of conditions and diseases of the organ system, including etiology, signs and symptoms, and method of diagnosis and treatment. Students will build on their knowledge of anatomy and physiology and medical terminology through a detailed study of common pathological conditions and the drugs used in their treatment. Note: Students who took this course prior to Fall 2012 as ALH-10801 Pathology will need to retake this course to obtain necessary refresher and pharmacology skills. Prerequisites: ALH 10101 and BIO 10700 ."
ALH 11101,Dosages and Calculations,1,"Lecture-Lab: 1-0 Offered: F,W,S This course introduces the beginning health science student to the procedures and steps used to calculate drug dosages in basic clinical applications. The course will focus primarily on the calculations of dosages by the oral and parental routes. A step-by-step procedure for calculation of actual medication problems will be used. Upon completion of the course, the student will be able to apply critical reasoning, thinking and deductive skills necessary to interpret basic medical orders for medications."
ALH 11300,Medical Ethics & Law,3,"Lecture-Lab: 3-0 Offered: F,W,S This course provides the student with an overview of medical law and ethics for health care professionals. Topics discussed include criminal and civil acts, contracts, negligence, malpractice, torts, HIPPA, and other health care legislative rulings. Case studies will be used throughout the course to allow students to apply and analyze the content areas of the course. Prerequisite: ENG 10305 or placement into ENG 10303 ."
ALH 21301,ICD Coding,4,"Lecture-Lab: 4-0 Offered: F,W This course is designed to introduce the student to basic coding rules, regulations, and conventions for the current International Classification of Diseases using automated and manual systems. Introduces other classifications, nomenclatures, medical vocabularies and applicable payment classification systems. Builds practical application skills in code assignment from brief diagnostic statements to more complex coding scenarios. Prerequisites: ALH 10101 , HIT 10600 or ALH 10601 , and BIO 10700 . Corequisite: ALH 10801"
ALH 21601,Procedure Coding,4,"Lecture-Lab: 4-0 Offered: F,W This course is designed to introduce the student to basic coding rules, regulations, and conventions for current procedural coding classifications using automated and manual systems. Introduction to other classifications, nomenclatures, medical vocabularies, and applicable payment classification systems. Builds practical application skills in code assignment from brief procedural statements to more complex coding scenarios. Prerequisites: ALH 10101 , BIO 10700 , and HIT 10600 or ALH 10601 . Corequisite: ALH 10801 ."
ALH 23301,Revenue Cycle and Reimbursement,4,"Lecture-Lab: 4-0 Offered: S,V This course is designed to introduce the student to the uses of coded data from cases in reimbursement and payment systems appropriate to health care settings and managed care. An introduction to revenue cycle management to include billing processes, claims management, and chargemaster. Prerequisite: ALH 21301 and ALH 21601 ."
ALH 25101,MA Business Practices & Essentials,4,"Lecture-Lab: 4-0 Offered: F MA Business Practices and Essentials is a course that provides students with knowledge to perform Medical Assisting administrative, communication, and safety skills in an ambulatory care setting."
