course_code,course_name,credit_hours,description
ACCT 1050,Financial Record Keeping,4.00,"Prerequisites: None This course is not recommended for accounting majors or transfer students. This course will provide a procedural and practical approach to maintaining accounting records. The accounting cycle for a service company and a merchandising concern will be covered. Topics will include journals, ledgers, trial balances, financial statements, subsidiary ledgers, and payroll records. Manual and computerized accounting are used. (4 contact hrs)"
ACCT 1070,Accounting for Entrepreneurs,3.00,"Prerequisites: None This course will focus on reading and understanding financial statements. Students will learn how to analyze financial statements and how financial information can be effectively used to properly plan, control operations, and to make the right business decisions. (3 contact hrs)"
ACCT 1080,Principles of Accounting 1,4.00,"Prerequisites: None Introduction to accounting techniques and theories as they relate to business organizations. Transaction analysis and information processing for a service and merchandising concern. Measurement and reporting of assets, liabilities, and equity. The emphasis is on financial accounting. (4 contact hrs)"
ACCT 1090,Principles of Accounting 2,4.00,"Prerequisites: ACCT 1080 Continuation of financial accounting and introduction to managerial accounting. Topics include statement of cash flow, statement analysis, accounting for a manufacturing concern, cost-volume-profit relationships, and budgeting. (4 contact hrs)"
ACCT 1150,Microcomputer Applications in Accounting,3.00,"Prerequisites: ACCT 1090 The student uses a microcomputer to complete accounting tasks and to solve various accounting problems. These accounting systems are studied: general ledger, accounts receivable, accounts payable, depreciation and payroll. In addition, a number of spreadsheet applications are covered. (3 contact hrs)"
ACCT 2180,Intermediate Accounting 1,4.00,"Prerequisites: ACCT 1090 Review of the accounting process and theory. Coverage in detail of cash and temporary investments, receivables, inventories, long-term investments in stocks, and tangible and intangible assets. (4 contact hrs)"
ACCT 2190,Intermediate Accounting 2,4.00,"Prerequisites: ACCT 2180 ACCT-2190 is strongly recommended for students who plan on transferring to a senior college which accepts ACCT-2190. Analysis of current, contingent, and long-term liabilities including bonds, pensions, and leases. Extensive coverage of corporations and stockholders equity including capital at and after formation, retained earnings and appropriations, cash flow statements, and analysis of statements. (4 contact hrs)"
ACCT 2270,Managerial Accounting,4.00,"Prerequisites: ACCT 1090 Accumulation of information useful to management in a variety of decision-making situations. Emphasizes manufacturing accounting, cost-volume relations, relevant costs, budgeting, and standard cost system, and quantitative techniques in managerial accounting. (4 contact hrs)"
ACCT 2300,Federal Income Tax-Individual,4.00,Prerequisites: ACCT 1080 or 2 years work experience in accounting Orientation to current federal tax laws and techniques in filing annual U.S. individual income tax returns. Provides practical experience in preparation of annual returns and a basic foundation for further study in the tax field. (4 contact hrs)
ANTH 1000,Introduction to Anthropology,4.00,"Prerequisites: None An introduction to man’s biological evolution and cultural origins. Prehistoric man, biological/genetic differences, and the growth of language and culture will be considered. A cross-cultural study of social institutions, beliefs, and values will be included as well as a discussion of contemporary anthropological problems. (4 contact hrs)"
