course_code,course_name,credit_hours,description
ONL 001,Online Course Orientation,0,"Session Cycle: FWSU Students who have never completed an online course at MCCC are now required to complete an online orientation course (ONL 001). If you do not successfully complete the online orientation course prior to the first day of the semester, you will be de-registered from your online course(s). If you have any questions or need assistance with you ONL 001 course, contact the e-Learning department at 743-384-4328 or online at elearning@monroeccc.edu ."
ACCTG 151,Accounting Principles,4,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: FWSU The study of accounting theory and principles is applied to service and merchandising enterprises, including special journals and ledgers, adjusting and closing procedures, preparation of financial statements, promissory notes, inventory control and valuation, depreciation, payroll and an introduction to cash control and partnership accounting."
ACCTG 152,Accounting Principles,4,"Prerequisites: ACCTG 151 Session Cycle: FWSU This course is a continuation of Accounting 151. The concepts and principles of corporate accounting, introduction to manufacturing and cost accounting, management analysis and interpretation of financial data are covered."
ACCTG 201,Microcomputer Accounting I,3,"Prerequisites: ACCTG 151 and CIS 109 Session Cycle: FL This course is an introduction to computerized accounting software using QuickBooks. Students will review and apply basic accounting principles, record transactions and generate computer documents for various types of business organizations."
ACCTG 206,Data Analytics for Accounting,3,"Prerequisites: ACCTG 151 and CIS 109 Session Cycle: WI This course is designed to build upon the fundamentals of accounting and explore accounting concepts through the application of data analytics, including descriptive, diagnostic, predictive, and prescriptive analyses fostering critical thinking to develop the skills to ask the right questions. Focus is placed on building skills with Excel and Tableau to examine and analyze data and effectively interpret the results to make business decisions. This course provides a framework for developing a Data Analytics mindset, referred to as the AMPS model: 1. Ask the Question, Master the Data, Perform the Analysis and Share the Story."
ACCTG 220,Payroll Accounting,3,"Prerequisites: ACCTG 151 . You must also complete the Online Orientation ( ONL 001 ) prior to the start of the semester or have previously completed an online course at MCCC. You will be automatically enrolled into the Online Orientation within 5 days of registering in your online course(s). Failure to complete the required Online Orientation may result in de-registration from your online courses. Please contact the eLearning office at 734.384.4328 or elearning@monroeccc.edu for further information. Session Cycle: FW This course covers the analysis and recording of payroll transactions and the filing requirements of payroll reports. It will also focus on the various phases of the Social Security Taxes, Federal Income Taxes, State Income Taxes and Unemployment Compensation and the laws relating to them. A payroll project is required where the student will apply their analytical and procedural skills learned in this course."
ACCTG 251,Intermediate Accounting I,4,"Prerequisites: ACCTG 152 ; If you are registering for an online or blended course for the first time at MCCC, you must also complete the Online Orientation ( ONL 001 ) prior to the start of the semester. You will be automatically enrolled into the Online Orientation within 5 days of registering in your online course(s). Failure to complete the required Online Orientation may result in de-registration from your online courses. Please contact the eLearning and Instructional Support Office at 734.384.4328 or elearning@monroeccc.edu for more information. Session Cycle: FL This course reviews the fundamental accounting process studied in the principles of accounting and continues with a more comprehensive study of the major categories of the balance sheet and statement of cash flow and income statements. Students will also be introduced to the applicable APB and FASB pronouncements and related topics."
ACCTG 252,Cost Accounting,4,"Prerequisites: ACCTG 152 Session Cycle: WI This course is an introductory course designed to provide practical knowledge of cost accounting systems and procedures. The course begins with an overview of the nature and purpose of cost accounting and follows with the basic concept that cost flow matches work flow. The major areas of cost accounting are covered including job order cost accounting, process cost accounting, budgeting, standard costs, direct costing, and non-manufacturing costs."
ACCTG 254,Intermediate Accounting II,4,"Prerequisites: ACCTG 251 Session Cycle: WI This course continues ACCTG 251 with a comprehensive study of the major categories of the balance sheet, statement of cash flow, and income. In addition, students will be introduced to the accounting, analysis, and reporting of special topics such as earnings per share, investments, deferred taxes, and revenue recognition. Students will also be introduced to the applicable APB and FASB pronouncements and related topics."
ACCTG 255,Introduction to Taxation,3,Prerequisites: ACCTG 151 Session Cycle: FL This is an introductory course in individual taxation and provides a comprehensive understanding of the United States Tax code as it relates to individuals. The course is designed to develop proficiency in the preparation of individual federal income tax returns in both a manual and computerized environment. Partnership and Corporate Taxation are briefly covered.
ACCTG 256,Taxation & IRS Certification VITA,3,"Prerequisites: ENGL 090 and RDG 090 or qualifying score on accepted placement tests Session Cycle: WI This course provides a comprehensive understanding of the US tax code as it relates to individuals and prepares students for the IRS Tax Preparation Exam and Certification. Upon successful completion of IRS certification, students will participate in the Volunteer Income Tax Assistance Program (VITA) providing free income tax preparation services for qualified individuals in Monroe County, Michigan."
ANTHR 152,Introduction to Cultural Anthropology,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests C6 General Education Social Systems Satisfier Y MTA Social Sciences Satisfier Y Global Studies Satisfier Course Y Session Cycle: FWSU Cultural anthropology provides the conceptual and methodological tools necessary to understand the diversity of human lifeways on a global basis. The course introduces such powerful concepts as culture and socialization and explores the effects of these on people’s worldview. This allows students to enhance their understanding of the underlying reasons why some societies have beliefs, lifeways, and customs vastly different from their own and allows them to see themselves and their own culture in a new light. This course is a satisfier course for the Global Studies Degree Designation."
ANTHR 155,Introduction to Archaeology,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests. If you are registering for an online or blended course for the first-time at MCCC, you must also complete the Online Orientation ( ONL 001 ) prior to the start of the semester. You will be automatically enrolled into the Online Orientation within 5 days of registering in your online course(s). Failure to complete the required Online Orientation may result in de-registration from your online courses. Please contact the eLearning and Instructional Support Office at 734.384.4328 or elearning@monroeccc.edu for more information. MTA Social Sciences Satisfier Y Global Studies Satisfier Course Y Session Cycle: FL Archaeology is a global social scientific discipline investigating human ancestry. This course provides a thorough introduction to archaeology’s rationale, history, methods, and theory. Comparative case studies from archaeological investigations of ancient cultures illustrate major points. Lectures, demonstrations, slide shows, hands-on experiences and application exercises will be used to facilitate the learning experience. This course is a satisfier course for the Global Studies Degree Designation."
ANTHR 165,Eastern North American Archaeology,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests MTA Social Sciences Satisfier Y Session Cycle: WSU This course is designed to provide a thorough introduction to the diversity of cultures found in eastern North America from the initial Native American occupation to the early Euro American settlement using the unique perspective that archaeology provides. Students are exposed to cultures whose belief systems, methods of enculturation and socialization, and styles of living that are vastly different from their own. The course emphasizes the effect of culture, culture change, and cultural ethnogenesis on societies across time and space. Finally, it seeks to provide an understanding of the need for careful analysis and interpretation of finds and an appreciation of the fragile nature of our cultural heritage."
ANTHR 175,Archaeological Field Methods,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: SU Archaeological Field Methods introduces the theory and methodology of fieldwork to Monroe County Community College students. Students spend the majority of this class out-of-doors engaging in hands-on activity while working on actual archaeological sites. As such, students experience the excitement and hard work that goes into recovering artifacts and other archaeological material. Students will learn how archaeologists plan and conduct research, learn proper excavation and recording methods, and learn how to identify artifacts. As importantly, you will recognize the social aspects of archaeology, including the value of individual work and self-discipline as well as the value of teamwork. When finished with the class, students will have a basic yet thorough knowledge of archaeological field work techniques and will be prepared for more advanced study."
APPR 296,Special Topics-Pre-Apprenticeship Basics,2,"Prerequisites: RDG 090 and MATH 090 or qualifying scores on accepted placement tests or consent of instructor Session Cycle: FW This course introduces the student to the scope and tasks required for a successful career in the professional construction trades. The course will cover basics such as taking accurate measurements in the field, common in field math calculations, tool safety and usage, and exposure to typical construction site conditions. Further this course is designed to emphasize construction trade basics and provide exposure to multiple construction trades pathways."
ART 151,Art Fundamentals,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests MTA Humanities/Fine Arts Satisifer Y Session Cycle: FW This is an introductory course for all art students, especially those who are interested in taking a basic art class. The student will be exposed to the elements of two-dimensional form structure, the principles of organization, art terminology, materials and techniques and forms of artistic expression."
ART 155,Art Appreciation,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests C5 General Education Human Experience Satisfier Y MTA Humanities/Fine Arts Satisifer Y Global Studies Satisfier Course Y Session Cycle: FWSU The student will be exposed to the fundamental principles governing art in its various forms. PowerPoints, class discussions, presentations by visiting artists, films and studio projects are designed to meet the needs of general students in understanding and appreciating the fine and applied arts. This class is a satisfier course for the Global Studies Degree Designation."
ART 160,Two-Dimensional Design,3,Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests MTA Humanities/Fine Arts Satisifer Y Session Cycle: FLSU This course studies the principles of two-dimensional design for an understanding of its nature and expressive possibilities. It allows for the opportunity to develop a creative approach in working with its elements. Emphasis will be placed on developing an awareness of composition and the principles of organization involving creativity and intuition. This course is viewed as a continuation of Art Fundamentals.
ART 165,Illustration Techniques,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: FL This course introduces the art student to the many drawing and painting techniques used by professional illustrators. The student will simulate the demands and deadlines faced in the advertising world. The exploration of ideas and images, recognition, media selection, step-by-step work-ups and presentation of final work is of utmost importance and will be developed thoroughly by the student. This course is viewed as a continuation of ART 160 ."
ART 170,Life Drawing,3,"Prerequisites: ART 151 or ART 180 Session Cycle: WI This is an introductory course in drawing the human figure from a live model. Numerous approaches, including varied media and drawing techniques, as well as the examination of human anatomy and its structure, will be discussed and explored. Understanding of the various attitudes of the human form will be emphasized."
ART 180,Drawing I,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: FW This is a comprehensive course covering the mechanics and techniques of drawing. The student will become aware of the various dry media used in drawing. Concentration on expressive line quality, mass, value, proportion and visual awareness will be of primary concern."
ART 181,Drawing II,3,"Prerequisites: ART 180 Session Cycle: FW In this course, mixed media, self-expression, draftsmanship, composition, content and subject awareness will be emphasized. The student will be placed in a situation where self-discipline, analysis of composition and the development of creative imagery are of the utmost importance. This course is a continuation of ART 180 ."
ART 190,Painting I,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: FW This is an introductory course in painting. The selection of subject, composition, investigation of the many techniques (glazing, scumbling, dry brush, wet on wet, impasto, etc.) and preparation of painting surfaces will be explored thoroughly. Acrylic paint will be the media of choice in this class."
ART 191,Painting II,3,Prerequisites: ART 190 Session Cycle: FW Emphasis is placed upon individual problems and the further development of techniques and approaches gained in Painting I. This course is a continuation of ART 190 .
ART 250,Watercolor Painting I,3,"Prerequisites: RDG 090 and ENGL 090 or qualifying scores on accepted placement tests Session Cycle: FW This is an introductory course designed to familiarize the beginning student with the many technical and creative approaches to watercolor painting. Investigation of papers and watercolor tools, exploration of the medium, demonstrations, slide lectures and critiques will give the student in this class a more than adequate understanding of waterbase media."
ART 251,Watercolor Painting II,3,Prerequisites: ART 250 Session Cycle: FW Emphasis will be on composition and individual expression. This course is a continuation of ART 250 .
ART 252,Studio Art,3,"Prerequisites: ART 181 or ART 191 or ART 251 Session Cycle: FW Studio Art is a non-transferable course for the student/artist who has completed all the art offerings in a given discipline but still wishes to utilize the studio space, facilities and instructor’s expertise to gain further knowledge. This will be done with the permission and under the supervision of an instructor. The student receives “P” or “F” rather than a letter grade for the course since it is not intended to transfer."
