course_code,course_name,credit_hours,description
ACCT 115,Principles of Accounting I,4,"This introduction to accounting fundamentals covers the meaning and purpose of accounting statements; the theory of debits and credits; accounts payable and receivable; payroll; the trial balance; adjusting and closing entries; and accounting for notes, deferred and accrued items. Approximately 10-12 hours per week of study time is required for success in this course. While this course is offered spring and fall semesters, those students who need both ACCT 116 and ACCT 115 to complete their program should only take this course during the fall semester. Semesters Offered: fall and spring semesters Course Goals/ Objectives/ Competencies: Goal 1: Maintain the general ledger. Journalize original transactions in the general journal. Journalize adjustments in the general journal. Journalize closing entries in the general journal. Post journal entries to the general ledger. Goal 2: Prepare financial statements. Prepare a simple income statement. Prepare a statement of owner’s equity. Prepare a balance sheet. Goal 3: Apply basic cash management techniques. Journalize the establishment of petty cash. Journalize the replenishment of petty cash. Prepare bank reconciliation. Journalize bank reconciliation adjusting entries. Goal 4: Account for receivables. Calculate allowances for uncollectible accounts. Journalize allowances for uncollectible accounts. Calculate simple interest on notes receivable. Determine due dates on notes receivable. Goal 5: Account for merchandising activities. Calculate cost of merchandise sold. Calculate gross profit. Prepare a multiple-step income statement. Calculate inventory using the FIFO method. Calculate inventory using the LIFO method. Calculate inventory using average cost method. Goal 6: Account for fixed assets. Calculate the basis of fixed assets. Calculate depreciation using the straight-line method. Calculate depreciation using the double declining balance method. Calculate depreciation using the units of production method. Goal 7: Account for liabilities and payroll. Correctly present liabilities. Calculate gross payroll. Calculate payroll withholding. Compute employee net pay. Compute employer’s payroll tax liabilities."
ACCT 116,Principles of Accounting II,4,"This course covers basic procedures for accumulating and using the accounting data needed for managerial planning, controlling and decision making. Semesters Offered: spring semesters Course Goals/ Objectives/ Competencies: Goal 1: Account for partnerships and limited liability companies. Journalize individual partner investments into the business. Calculate each partner’s share of net income or net loss. Journalize closing entries in the general journal. Journalize the admittance of a new partner. Goal 2: Account for corporations. Journalize the issuance of common stock. Journalize the issuance of preferred stock. Journalize treasury stock transactions. Journalize cash dividend transactions. Journalize stock dividend transactions. Prepare corporate financial statements. Goal 3: Analyze cash flows of business entities. Prepare a statement of cash flows. Goal 4: Analyze financial statements. Prepare a horizontal analysis of an income statement. Prepare a horizontal analysis of a balance sheet. Prepare a vertical analysis of an income statement. Prepare a vertical analysis of a balance sheet.\ Perform financial ratio analysis. Goal 5: Apply job order costing techniques. Journalize transactions for materials. Journalize transactions for labor. Journalize transactions for factory overhead. Jouranlize flow of finished goods. Goal 6: Demonstrate cost behavior principles. Calculate variable costs. Calculate fixed costs. Calculate contribution margin. Calculate break-even point. Goal 7: Demonstrate budgeting processes. Prepare static budgets. Prepare flexible budgets. Goal 8: Account for variances within a standard cost accounting system. Calculate variances for materials. Calculate variances for labor. Calculate variances for factory overhead. Journalize variances. Goal 9: Apply responsibility accounting methods to decentralized organizations. Prepare budget performance reports. Prepare divisional income statements. Calculate return on investment. Goal 10: Analyze alternative courses of action. Calculate differential analysis of alternative courses of action. Prepare differential analysis report."
ACCT 212,Computerized Accounting,4,"This course covers the installation, set up, and operation of computerized accounting software, and will include general ledger, banking, accounts receivable, accounts payable, inventory, payroll, job costing and various accounting reports. Semesters Offered: fall semesters Course Goals/ Objectives/ Competencies: Goal 1: Apply computer technology to the general ledger. Perform new company set up. Create a new chart of accounts. Record general journal transactions. Print financial statements. Goal 2: Apply computer technology to accounts receivable. Maintain customer ledger. Maintain customer invoices. Print accounts receivable reports. Analyze accounts receivable reports. Goal 3: Apply computer technology to accounts payable. Maintain vendor ledger. Maintain vendor invoices. Print accounts payable reports. Analyze accounts payable reports. Goal 4: Apply computer technology to inventory. Maintain the inventory ledger. Print inventory reports. Analyze inventory reports. Goal 5: Apply computer technology to payroll. Maintain the payroll ledger. Calculate payroll. Print payroll checks. Analyze payroll reports. Goal 6: Apply computer technology to banking activities. Print checks. Print banking activity reports. Perform computerized bank reconciliation. Goal 7: Employ the use of spreadsheet software in concert with accounting applications. Export data from computerized accounting applications to spreadsheets. Perform financial analysis utilizing spreadsheet software. Print reports using spreadsheet software."
ACCT 246,Tax Accounting,3,This course covers practices and procedures for state and federal income taxes for individuals and proprietorships. It includes 15 hours of service learning assisting local non-profit organizations prepare tax returns. Semesters Offered: spring semesters Course Goals/ Objectives/ Competencies: Goal 1: Examine history and structure of the Internal Revenue Code (IRC). Describe the formulation of tax law. Describe the history of the IRC. Describe the basic tax formula. Ascertain taxpayer rights and responsibilities. Goal 2: Develop proper business communication and analysis. Effectively articulate contemporary tax law issues. Compare and contrast current tax law issues. Goal 3: Examine gross income. Identify gross income inclusions. Identify gross income exclusions. Calculate gross income. Goal 4: Examine adjusted gross income. Identify deductions for adjusted gross income. Calculate adjusted gross income. Goal 5: Examine taxable income. Identify deductions from adjusted gross income. Calculate taxable income. Goal 6: Examine income tax. Calculate income tax before credits. Identify tax credits. Calculate income tax. Goal 7: Examine business reporting requirements. Identify business income and deductions. Calculate business income or loss. Report business income or loss. Goal 8: Demonstrate understanding of Michigan income tax. Calculate Michigan income tax.
ACCT 270,Business Finance,3,"Introduces fundamental principles of business finance by examining the basic methods and skills used in evaluating operating performance and financial condition of businesses, with an emphasis on providing tools entrepreneurs need to successfully lead and direct their organization. Course content includes the term structure of interest rates, the relationship between risk and return, cost of capital and capital structure, net present value and the time value of money principles, capital budgeting techniques, ratio analysis, working capital management, operating and financial leverage, forecasting, and investments. Semesters Offered: fall semesters Course Goals/ Objectives/ Competencies: Goal 1: Understand the basic economic concepts of finance as it relates to individuals and business. Describe scarcity of resources. Calculate opportunity cost. Explain the relationship of risk and return and its influence on business decision making. Goal 2: Compare and contrast the relationships of financial statements. Construct financial statements. Calculate free cash flow. Goal 3: Perform ratio analysis of financial statements. Calculate horizontal analysis. Calculate vertical analysis. Calculate financial ratios. Goal 4: Apply methods for planning financial strategies. Calculate return on investment. Calculate break-even point. Calculate profit potential. Calculate various measurements of leverage. Goal 5: Apply principles of forecasting. Describe the three basic categories of forecasting models. Compute Mean Absolute Deviation (MAD). Prepare pro forma financial statements. Goal 6: Understand the general concept of working capital management. Describe principles of cash management. Describe principles of accounts receivable management. Prepare accounts receivable analysis. Prepare inventory analysis. Describe principles of current liability management. Goal 7: Apply the concept of time value of money. Calculate the future value of a lump sum. Calculate the present value of a lump sum. Calculate the internal rate of return. Describe differences between ordinary annuity and annuity due. Calculate the future and present value of an ordinary annuity. Calculate the future and present value of an annuity due. Goal 8: Apply principles of capital budgeting. Identify factors affecting capital budgeting. Determine weighted average cost of capital (WACC). Determine net present value (NPV). Determine internal rate of return (IRR). Goal 9: Understand the determining factors of an organization’s capital structure. Describe bonds and bond financing. Describe the elements of equity financing."
AGRI 103,Applied Plant Science and Production,4,"This course presents the principles of plant production, including crops and other commercial plants, grown locally as well as in the United States. Global issues in sustainable agriculture will also be presented. Soil, water, nutrition and disease management of plants will be discussed in lecture, analyzed in lab and/or local production sites. Some field trips may be required as part of the class. Semesters Offered: fall semesters Course Goals/ Objectives/ Competencies: Goal 1: Describe how plant science and food production are related. Define plant science. Discuss current crop and commercial plant production in Michigan, US and the world. Locate statistical data about local, national and global food production. Relate crop production to food production. Discuss the role of technology in production agriculture. Goal 2: Describe crop plant anatomy and physiology. Identify the parts of a seed, stem and leaves. Discuss the role of seeds, stems and leaves in edible plants. Describe the processes of photosynthesis and cellular respiration. Describe pollination, fertilization and flowering processes. Goal 3: Describe requirements for producing the major crops and commercial plants. Describe production of major food plants: corn, soybean, wheat, drybeans, sugarbeets, etc. Describe requirements for producing other plants that are sold commercially (i.e. horticulture, landscape plants, etc.) Compare various management practices used in crop and plant production. Visit local crop productions and/or commercial plant sites (depending on instructor preference or available resources). Goal 4: Describe the requirements for growing plants. Define soil types. Describe soil biology. Describe macro and micronutrient requirements of plants. Describe water requirements of plants. Describe light requirements of plants. Discuss how temperature can affect plant growth. Identify common crop diseases and pests. Explain how diseases and pests are controlled in crops and commercial plants production. Identify common weeds. Describe methods and types of weed control. Goal 5: Discuss current issues in crop production and methods to improve production. Describe sustainable agriculture at the local, national and global levels. Explain methods to improve crop production including crop rotation and types of tillage. Describe the role of plant breeding and genetics in crop production and improvement. Discuss the future of sustainable agriculture. Evaluate various careers and career pathways in agriculture. Goal 6: Use various techniques in the laboratory, greenhouse or production site to investigate crop production and management. Analyze soils for nutrient content. Measure yields of selected crops. Calculate fertilizer requirements for selected crops. Identify common seeds and plants of major crops. Analyze management techniques to best use resources for sustainable production of plants. Review relevant research data and/or current issues in crop production (as selected by instructor). Goal 7: Demonstrate an understanding of the scientific method as it relates to crop and soil science. Identify hypothesis and independent, dependent and control variables. Describe the steps of the scientific process (method). List characteristics of good scientific methodology and experimentation. Interpret data presented in different formats (text, table, graph, etc.). Draw valid conclusions from data examples (i.e crop production)."
AGRI 110,Introduction to Animal Science,4,"This course describes the history and development of animal agriculture in the United States and the world. The relationship of animal agriculture to human needs and production systems, marketing and environmental concerns is discussed. Current issues and goals of U.S. farm animal production is presented. Labs include several field trips to explore different types of production and industries in the local area. Semesters Offered: spring semesters Course Goals/ Objectives/ Competencies: Goal 1: Describe the relationship between people and domesticated animals locally, nationally and globally. Discuss the history of animal agriculture. Explore the relationship between people and animals. Describe domestication of production animals. Discuss the benefits and drawbacks of raising domesticated animals for humans. Describe the economics of the animal industry in the county, state, nation and world. Identify the major agencies involved in regulating the animal industry. Goal 2: Describe the characteristics of companion animals and domestic livestock. Define terminology and nomenclature respective to each species. Discuss species specific characteristics, growth requirements, breeds, etc. Identify measures of performance and assessment in each species. Identify the external anatomical features of each animal. Goal 3: Describe the digestive, nutritive, and reproductive physiology of companion animals and domestic livestock. Compare digestive systems between poultry, monogastric, hind-gut fermenters and ruminant animals. Describe the basic nutrients required by all animals. Discuss specific nutritional needs of animals based on type or activity of that animal. Identify conformational and structural requirements of these animals. Describe reproductive characteristics and behavior in these animals. Identify methods of reproduction used in the animal industry. Identify health issues particular to each species in production systems. Goal 4: Describe the variety of products obtained from the animal industry. Discuss meat inspection, carcass traits and dressing percentages of meat animals. Identify wholesale and retail cuts of meat in beef, swine and sheep. Identify inedible animal products used by humans. Goal 5: Identify equipment that is used in the safe and efficient management of domestic animal production. Identify animal-specific equipment within each industry. Relate specific species behavior to equipment and handling requirements. Compare different types of equipment and technology required in various large scale production systems in the animal industry. Describe the manure handling systems required for production animals. Describe required biosafety requirements and concerns in animal production systems. Goal 6: Acquire “hands-on” experience working with livestock and companion animals. Discuss difference in animal behavior and handling of each type of animal at production sites. Participate in site-visits or animal demonstrations. Use (or view) available animal-specific equipment at various production sites. Explore career opportunities in animal production/science. Discuss how different career paths in animal science are available, including transfer to a 4-year program (i.e. MSU). Goal 7: Demonstrate an understanding of the scientific method as it relates to research in animal agriculture. Identify hypothesis and independent, dependent and control variables in a given data set or experiment. Describe the steps of the scientific method. List characteristics of good scientific methodology and experimentation. Interpret data presented in different formats (text, table, graph, etc.). Draw valid conclusions from data (i.e. from the animal and food industry). Discuss applications of research to animal agriculture."
AGRI 120,Introduction to Animal Science Lecture,3,"This course describes the history and development of animal agriculture in the United States and the world. The relationship of animal agriculture to human needs and production systems, marketing and environmental concerns is discussed. Current issues and goals of U.S. farm animal production is presented. Semesters Offered: as needed The course content is identical to AGRI 110 with exception to the lab component and related credit and contact hours required. Course Goals/ Objectives/ Competencies: Goal 1: Describe the relationship between people and domesticated animals locally, nationally and globally. Discuss the history of animal agriculture. Explore the relationship between people and animals. Describe domestication of production animals. Discuss the benefits and drawbacks of raising domesticated animals for humans. Describe the economics of the animal industry in the county, state, nation and world. Identify the major agencies involved in regulating the animal industry. Goal 2: Describe the characteristics of companion animals and domestic livestock. Define terminology and nomenclature respective to each species. Discuss species specific characteristics, growth requirements, breeds, etc. Identify measures of performance and assessment in each species. Identify the external anatomical features of each animal. Goal 3: Describe the digestive, nutritive, and reproductive physiology of companion animals and domestic livestock. Compare digestive systems between poultry, monogastric, hind-gut fermenters and ruminant animals. Describe the basic nutrients required by all animals. Discuss specific nutritional needs of animals based on type or activity of that animal. Identify conformational and structural requirements of these animals. Describe reproductive characteristics and behavior in these animals. Identify methods of reproduction used in the animal industry. Identify health issues particular to each species in production systems. Goal 4: Describe the variety of products obtained from the animal industry. Discuss meat inspection, carcass traits and dressing percentages of meat animals. Identify wholesale and retail cuts of meat in beef, swine and sheep. Identify inedible animal products used by humans Goal 5: Demonstrate an understanding of the scientific method as it relates to research in animal agriculture. Identify hypothesis and independent, dependent and control variables in a given data set or experiment. Describe the steps of the scientific method. List characteristics of good scientific methodology and experimentation. Interpret data presented in different formats (text, table, graph, etc.). Draw valid conclusions from data (i.e. from the animal and food industry). Discuss applications of research to animal agriculture."
AGRI 121,Introduction to Animal Science Lab,1,"Labs include several field trips to explore different types of production and industries in the local area. Students will handle animals, animal equipment and/or watch demonstrations with animals. Travel is required, as is proper attire and behavior at site locations. Semesters Offered: as needed Course Goals/ Objectives/ Competencies: Goal 1: Identify equipment that is used in the safe and efficient management of domestic animal production. Identify animal-specific equipment within each industry. Relate specific species behavior to equipment and handling requirements. Compare different types of equipment and technology required in various large scale production systems in the animal industry. Describe the manure handling systems required for production animals. Describe required biosafety requirements and concerns in animal production systems. Goal 2: Acquire “hands-on” experience working with livestock and companion animals. Discuss difference in animal behavior and handling of each type of animal at production sites. Participate in site-visits or animal demonstrations. Use (or view) available animal-specific equipment at various production sites. Explore career opportunities in animal production/science. Discuss how different career paths in animal science are available, including transfer to a 4-year program (i.e. MSU)."
,,,"This variable credit course is for projects or internships in the agricultural field (special project, work in crop, animal or agribusiness area, etc.) under the direction of a faculty member or ag science instructor at the career center. Record keeping, understanding or experience of specific business or industry practices in the particular area and analysis of the experience must be demonstrated by oral or written presentation and credit will be awarded upon completion and advisor/advisory committee approval. Semesters Offered: as needed Course Goals/ Objectives/ Competencies: Goal 1: Demonstrate knowledge and/or skills obtained from professional experience in an agricultural field. Objectives: Describe basic equipment and skills used in the chosen industry. Explain how records are kept for the chosen industry. Describe the challenges the chosen industry faces. Demonstrate “hands on” skills used or learned during this project/internship. Present a detailed explanation of the project/internship in written or oral form to advisor or advisory committee."
