course_code,course_name,credit_hours,description
ACC 121,Accounting Principles I,4,"Introduction to financial accounting covering the accounting cycle, preparation of financial statements, and accounting for merchandising operations. It includes accounting for cash, receivables, inventory, property plant and equipment, current liabilities, payroll, long-term liabilities and corporations. Group 2 course. Quantitative Reasoning."
ACC 123,Accounting Principles II,4,"Continuation of ACC 121 . Introduction of the role of accounting information in the planning and decision-making of business organizations. Includes managerial accounting, costing of products, planning and budgeting, performance measurement, control of organizational activities, decision making, profitability analysis, statement of cash flows, and financial statement analysis. Group 2 course. Quantitative Reasoning."
ACC 199,Accounting Practicum,3,"This course is a hands-on, immersive accounting experience. It is taught in a seminar format which extends and draws upon knowledge gained in previous courses. Students will utilize spreadsheet software and perform all accounting functions in Quickbooks, beginning with company set-up, processing all monthly transactions, preparing monthly financial reports, analyzing financial position and performance, developing flexible budgets and performing pro forma financial modeling. This course requires students to have an electronic device capable of processing Quickbooks as well as spreadsheet software. Students are required to bring their own device to class. Group 2 course. Quantitative Reasoning."
ACC 221,Intermediate Accounting I,4,"A detailed analysis of the content of financial statements covering problems related to revenue recognition, time value of money, cash, receivables, and inventories including calculation and analysis of financial ratios. US and international reporting standards are compared. The course begins with a brief review of the fundamental accounting process. Group 2 course. Students should also have competency in algebra at the intermediate level. Quantitative Reasoning."
ACC 222,Intermediate Accounting II,4,"A detailed analysis of the content of financial statements covering problems related to property, plant and equipment, investments, current liabilities and contingencies, bonds and long-term notes, leases, income taxes, and shareholders' equity. US and international reporting standards are compared. Group 2 course. Students should also have competency in algebra at the intermediate level. Quantitative Reasoning."
ACC 223,Cost Accounting,4,"This course explores cost accounting from a managerial perspective. Job costing, activity-based costing, and process costing are analyzed. Budgeting and variance analysis for management control are examined. Cost volume-profit analysis, inventory costing and capacity, and inventory management techniques are investigated. Group 2 course. Quantitative Reasoning."
ACC 231,Federal Income Tax Problems,3,"In this course, the student will learn income tax practices and procedures necessary to prepare an accurate individual income tax return. Basic tax research and planning will be incorporated. Payroll tax laws and procedures will be examined including computing wages and withholdings, computing unemployment taxes and analyzing and journalizing payroll transactions. The course includes preparation of individual and payroll tax returns. Group 2 course. Quantitative Reasoning."
ACC 241,Principles Fraud Examination,3,"This course is an introduction to the field of fraud examination. Topics include types of fraud, the fraud triangle theory, fraud prevention and detection, investigation techniques, and the resolution of fraud. Students will analyze real-world cases and perform research. Group 2 course. Critical Thinking - Direct."
ACC 290,Accounting Internship,3,"The purpose of the internship is to provide on-the-job training for the student who wishes to pursue a career in Accounting. The internship will be customized to meet the learning needs of the student and the job requirements of the sponsoring firm. Students spend 10-15 hours per week in this paid or unpaid, supervised on-the-job training experience. In addition to the required 50 hours per credit in a work site, students will meet with the Experiential Coordinator as needed throughout the semester for internship support and feedback, review of professional employment documents and an internship exit interview. Students must apply one month prior to the semester in which they will complete the internship. Group 2 course."
HAH 100C,Informatics Essentials,1,"This course will introduce students to informatics in health care and, in particular, nursing. Students will enhance their ability to use modern informatics such as computer and Internet resources as well as Electronic Medical Record (EMR) software, in the health care environment. This course will be offered in a hybrid online and face-to-face format. Group 2 course."
