course_code,course_name,credit_hours,description
AH 107,Medical Office Procedures,3,"Offered in Fall, Winter Terms (2-2-0) This course is designed to provide the theoretical basis and practical application for performing clinical procedures in the medical office/clinic setting. Included are introduction to medical assisting; patient assessment including taking a medical history, interviewing patients and vital signs; documentation of care; preparing patients for examinations and procedures; principles of asepsis; phlebotomy; interpersonal communications; and legal issues. PREREQUISITE(S): AH 130 , OAS 116 , Admission to the MA program. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 108,Medical Office Procedures II,3,"Offered in Fall, Winter Terms (2-2-0) A continuation of AH 107 . This course is designed to provide the theoretical basis and practical application for performing clinical procedures in the medical office/clinic setting. Included are specimen collection and laboratory procedures; diagnostic tests, x-rays and procedures; introduction to principles of psychology; care of the geriatric and pediatric patient; developmental stages; common diseases and diagnoses; medical emergencies; professionalism; medical ethics; and accreditation of medical office assistants. AH 108 must be completed before taking AH 285 . PREREQUISITE(S): AH 107 and AH 180 . Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 116,Math For Health Professionals,2,"Offered in Fall Term (2-0-0) Designed for students majoring in nursing or allied health with an emphasis on math necessary for safe drug dosage calculation and medication administration. Topics will include solving problems and equations using fractions, decimals, percents, as well as using formulas and dimensional analysis. An overview of the metric system will also be provided. Emphasis will be placed on solving problems using drug calculations for medication administration. PREREQUISITE(S): Admission to the nursing program. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 118,Navigating the Healthcare System,3,"Offered in Fall Term (3-0-0) Focuses on the challenges individuals (and especially elder individuals) face in understanding and “navigating” the modern healthcare system in the United States with special emphasis on the balance between an individual’s maintaining independence or selecting among a variety of options for assistance. Topics to be addressed include recognition of and access to different levels of the healthcare system (primary, secondary, tertiary care), selection and implementation of different types of insurance (Medicare, Medicaid, private insurers, Medi-Gap, healthcare exchanges), local vs. national solutions in delivery of healthcare options, recognition of patient rights and responsibilities, and the role of patient advocates. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 130,Body Systems And Diseases,3,"Offered in Fall, Winter Terms (3-0-0) An applied course designed for the medical assistant that provides an introduction to each body system and common diseases and conditions. Emphasizes core knowledge of anatomy as it relates to clinical practice. The student will examine knowledge related to fundamental concepts of diseases necessary to understand procedures and techniques commonly encountered in the clinical setting. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 154,Certified Nurse Aide Training,5,"Offered in Fall, Winter, Summer Terms (3-2-2) Prepares students for work as a certified nurse’s aide. Course includes academic instruction, hands-on practice in the laboratory setting and clinical instruction in a long-term care facility. Upon successful completion of the course, students are eligible to take the certified nurse aide examination in the state of Michigan. Students will be required to meet immunization standards of the clinical facilities and will be subject to a criminal background check prior to being able to participate in clinical instruction. Students should be advised that clinical instruction may take place outside of times allotted for normal classroom or lab time. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 180,Pharmacology For Allied Health,3,"Offered in Fall, Winter Terms (3-0-0) An applied pharmacology course designed for the Allied Health student. Emphasis is on safe, accurate administration of medications typically given in an allied health setting. The student will acquire knowledge of drug actions, major side effects and techniques of administration. PREREQUISITE(S): B 104 or MATH 100 or MATH 110 or higher, AH 130 or BIO 133 or BIO 235 Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 182,Pharmacology For Surgical Technologists,4,"Offered in Fall, Winter Terms (4-0-0) An applied pharmacology course designed for the Surgical Technology student. Emphasis is on safe, accurate administration of medications typically given in a surgical setting. The student will acquire knowledge of drug actions, major side effects and techniques of administration, in addition to specific additional instruction and practice in the relevant medications and procedures unique to the surgical setting. PREREQUISITE(S): BIO 226 , BIO 235 and MATH 110 or higher. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 240,Pathophysiology,4,"Offered in Fall, Winter Terms (4-0-0) Pathophysiology is the study of abnormal function in living tissue. Physiological principles underlying the causes, signs, symptoms, and pattern of development of human disease will be examined. Recommended that BIO 235 , BIO 236 , CEM 101 be taken before AH 240. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 254,Advanced Certified Nurse Aide Skills,4,"Offered in Winter Term (2-2-3) Advanced preparation for CNAs for the role of assistive personnel and the latest trends in healthcare. The course will cover crossover skills needed to work in varied healthcare settings such as acute, subacute, home health, hospices and long-term care. Skills taught include venipuncture, respiratory care, wound care, electrocardiograms, catheterization and other technical skills. PREREQUISITE(S): AH 154 or current certification as CNA. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 280,Pharmacology,3,"Offered in Winter Term (3-0-0) An Introduction to the general principles of drugs and how they alter biological functions. Instruction focuses on the effects of specific drugs on body systems including: the autonomic nervous system; and the cardiovascular, respiratory, endocrine and immune systems. In addition, the pharmacology of antibiotics and chemotherapeutics is covered. Special emphasis is placed on the importance of the understanding of pharmacology with respect to nursing practice. PREREQUISITE(S): BIO 235 , BIO 236 and NUR 110 . Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 285,Work Based Learning-Medical Assistant I,4,"Offered in Fall, Winter, Summer Terms (1-0-12) Students in this course are placed in a medical office for a minimum of 160 hours of externship experience, where they will be working directly with a Medical Assistant or Registered Nurse to enhance administrative and clinical skills they have acquired in AH 107 and AH 108 (Medical Office Procedures I and II). Students will complete task lists for these skills that will be monitored both by medical office staff and North Central’s clinical instructor. In addition, students will also spend one hour each week in review for the Registered Medical Assistant exam which they can take following successful completion of AH 285 and the Medical Assistant program. Students will typically meet with Allied Health faculty and staff near the end of AH 108 in preparation for their externship placements in the following term. PREREQUISITE(S): AH 107 , AH 108 , AH 180 , OAS 190 , OAS 220 and OAS 221 . Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 292,Work Based Learning - Eldercare,1,"Offered in Winter Term (0-0-4) Students in this course are placed at a work site where they can deepen their experience working with an elderly population in either a medical, business, legal or social services capacity. Students will complete task lists for these skills that will be monitored by the Eldercare work-based learning coordinator. PREREQUISITE(S): Based on student’s curriculum. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
AH 297,Special Topics In Allied Health,2,Offered in Variable Terms (2-0-0) Special topics classes provide students opportunities for focused study with full-time or adjunct instructors teaching in their areas of expertise. Topics will vary. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi
ANM 110,Animation I: Introduction to Animation,3,"Offered in Fall, Winter Terms (3-0-0) Introduction to the fundamental methods, practices and principles of animation, while exploring the artisans, both past and present, responsible for establishing the art form. Students will have the opportunity to experiment with the fourth dimension, using various time-based techniques: hand-drawn, also known as frame-by-frame animation, stop-motion, claymation, mixed media, pixilation and much more. Each class session will consist of demonstrations, viewings of related works, hands-on experimentation, as well as critiques. Weekly assignments will further students’ skill sets, as well as their exposure to, and understanding of, time-based art. In particular, students will conduct experiments centered on the 12 concepts and principles of animation. Lastly, students will gain knowledge and experience with post-production practices through the use of various software programs, including, but not limited to, iMovie, Photoshop and After Effects. Upon completion of this course, students will have a basic working knowledge of how art, time and kinesthetics come together to create the lighthearted, narrative art form known as animation. Master Syllabi: https://share.ncmich.edu/academics/master_syllabi"
