course_code,course_name,credit_hours,description
ASC 1070,College Success Skills,2,"This course is designed to improve students' academic performance. Students will practice strategies for test taking, textbook study, note taking, memory enhancement and time management. They will be given opportunities to apply these strategies to current course work and personal life situations. BILLABLE CONTACT HOURS: 2"
ASC 1072,Textbook Learning Strategies,1,This course is an introduction to college textbook learning. Students taking this course will practice a variety of strategies aimed at developing their learning from college textbooks. BILLABLE CONTACT HOURS: 1
ASC 1074,Lecture Learning Strategies,1,This course is an introduction to college lecture learning. Students taking this course will practice a variety of strategies aimed at developing their learning from college lectures and discussions. BILLABLE CONTACT HOURS: 1
ASC 1076,Critical Thinking Strategies,1,"This course assists students in becoming more proficient critical thinkers. Students will be introduced to and practice some of the most important skills of critical thinking, including the ability to comprehend, analyze and evaluate academic material. Emphasis will be placed on the development and practical application of critical thinking skills to maximize success with textbook and lecture learning, and a variety of assessments. BILLABLE CONTACT HOURS: 1"
ASC 1077,Critical Thinking Strategies-Advanced,2,"This course explores critical thinking through information literacy. Specifically, learners will be introduced to Bloom's Taxonomy of Higher-Level Thinking and practice thinking skills such as analysis and evaluation on primary and secondary source materials, including journal and newspaper articles, and even social media posts. Through a mix of different learning activities, students will develop effective habits of thinking to become more critical consumers of information. BILLABLE CONTACT HOURS: 2"
ASC 1078,Test Taking Strategies,1,This course is designed to assist students in becoming more confident and proficient test-takers. Emphasis will be placed on the practical application of study and test-taking strategies to maximize success on college exams. BILLABLE CONTACT HOURS: 1
ACC 1500,Accounting for the Small Business Owner,3,"This course is designed for the non-accountant business owner. The student will study accounting procedures and applications for small businesses. Topics include bookkeeping for the small business, accounting systems for the small business, understanding of financial statements, overview of inventory management, survey of small business owner tax concerns and accounting concepts relating to financing the small business. BILLABLE CONTACT HOURS: 3"
ACC 1803,Payroll Accounting,2,"This course provides an overview of payroll, record-keeping regulations, reporting requirements, accounting procedures and federal labor laws. The course includes computations of gross wages, salaries, mandatory deductions of federal, state and local taxes, and optional deductions. Also covered is employer related taxes and preparation of various payroll tax forms. BILLABLE CONTACT HOURS: 2"
ACC 1805,Accounting with Quickbooks,2,"This course will expose students to the popular accounting software, Quickbooks. The course reinforces basic accounting procedures through the use of Quickbooks. The student will use Quickbooks to enter accounts receivable and accounts payable transactions and to generate financial reports. BILLABLE CONTACT HOURS: 2"
ACC 1810,Principles of Financial Accounting,4,"This course reviews basic financial accounting principles covering the accounting cycle. Topics include: cash, receivables and payables, inventory valuation, fixed and intangible assets valuation, current and long term liabilities, and owner's equity. Internal control and financial statement analysis is also considered. Emphasis is placed on the sole proprietorship and corporate forms of ownership. BILLABLE CONTACT HOURS: 4"
ACC 1820,Principles of Managerial Accounting,4,"This course emphasizes the managerial aspects of cost accounting for manufacturing and service entities. Managerial topics will include: cost terms and behavior, determination of the cost of goods manufactured and sold, job order and process cost accounting, cost-volume-profit analysis, variable costing, profit planning and budgeting, standard costs and variance analysis, capital budgeting, and the Statement of Cash Flows. BILLABLE CONTACT HOURS: 4"
ACC 2070,Cost Accounting,4,"This intermediate level course reviews and further develops material presented in Managerial Accounting. Additional topics presented include: activity based costing, quality and just-in-time issues, the theory of constraints, pricing decisions and cost management, cost allocation, management control systems and performance measurement. BILLABLE CONTACT HOURS: 4"
