course_code,course_name,credit_hours,description
ACCT 103,Introduction to Accounting,4,"In this course you will learn about the basic accounting cycle for a sole proprietorship in the service or merchandising industry. You will account for cash, sales, purchases, payroll and payroll taxes. Prerequisites: None. Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Explain the role of accounting in a business. Analyze business transactions using the accounting equation. Apply the rules of debits and credits to business transactions. Prepare journal entries. Prepare an income statement. Prepare a statement of owner’s equity. Prepare a balance sheet. Complete the accounting cycle for a service company. Prepare bank reconciliations. Calculate payroll and related payroll taxes. Process payroll transactions. Process transactions using special journals and subsidiary ledgers. Complete the accounting cycle for a merchandising company."
ACCT 138,Income Tax Preparation,2,"This is an introductory course in Federal and Michigan individual income tax laws and return preparation. Special emphasis will be given to Federal Tax Form 1040 with accompanying Schedule A (itemized deductions). In addition, the course will include preparation of Michigan Tax Form MI-1040 and City of Detroit returns. Prerequisites: None. Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Categorize transactions for appropriate tax treatment. Apply tax law provisions to individual taxpayer scenarios. Differentiate between the Federal, State and City of Detroit income tax systems. Characterize the elements of the Federal, State and City of Detroit income tax returns. Prepare a comprehensive tax return utilizing income tax software. Explore Internet-based resources available for income tax preparation."
ACCT 139,Michigan Taxes,2,"This is an introductory course in Michigan personal and business taxes. In addition, the individual income taxes of several Michigan cities will be covered. The course provides both non-accounting and accounting majors with knowledge of the Michigan tax structure. Special emphasis will be on regulations and tax requirements for income taxes, sales and use taxes, unemployment taxes, business tax and real and personal property taxes. Students will prepare tax returns while reviewing tax planning strategies. Prerequisites: None. Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Apply state tax law provisions to individual taxpayer scenarios. Apply local city tax law provisions to individual taxpayer scenarios. Prepare individual and business tax forms for the State of Michigan. Prepare individual tax forms for the Cities of Detroit, Hamtramck, and Highland Park. Explore various tax issues which may need to be researched. Investigate tax issues relating to interstate taxation."
ACCT 201,Principles of Accounting 1,4,"In this course, you will learn the principles of accounting with emphasis on the accounting cycle for a sole proprietorship in the service and merchandising business. You will apply internal controls to an accounting system, account for cash, accounts receivable, bad debts, inventories, long lived assets, current liabilities and payroll. In addition, you will demonstrate how to account for partnerships. This course will integrate a Web-based learning system which requires the use of a computer to complete some of the learning activities and assessments. This course MAY also include the use of Excel. Prerequisites: None. Corequisites: None. Recommended: CIS 120 . ACCT 103 , or overall high school GPA of 2.8 or higher, or a minimum score of 430 Digital SAT-Math, 22 SAT-Math or 240 NGA-Arithmetic or 220 QRAS. ACCT 103 , or overall high school GPA of 2.8 or higher, or a minimum score of 430 Digital SAT-Reading and Writing, 22 SAT-Reading or 237 NGA-Reading. Course Category: Occupational Check Course Availability Course Competencies Explain the importance of ethical decisions in financial reporting. Explain the role of accounting in a business. Analyze business transactions using the accounting equation. Apply the rules of debits and credits. Prepare journal entries for business transactions, adjustments and closings. Prepare financial statements. Compute cost of goods sold and ending inventory. Process transactions using special journals and subsidiary ledgers. Determine the effects of errors on the financial statements. Apply internal control principles. Estimate uncollectible account expense using two different approaches. Apply current accounting principles to long lived assets. Apply current accounting principles to current liabilities and payroll. Demonstrate partnership accounting. Compute ratios."
ACCT 202,Principles of Accounting 2,4,"This course is a continuation of Accounting 201, expanding your exposure to accounting principles, financial statements, methods and applications. In this course, you will focus on accounting for corporations, stockholder’s equity, liabilities and investments. You will prepare the statement of cash flows. You will analyze and interpret financial statements and other accounting information used in decision making. You will also explore managerial accounting and its applications in planning and controlling costs. This course will integrate a web-based learning system which requires the use of a computer to complete some of the learning activities and assessments. This course MAY also include the use of Microsoft Excel. Prerequisites: ACCT 201 . CIS 120 Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Apply current accounting principles to stockholder’s equity. Apply current accounting principles to investments. Apply current accounting principles to long term liabilities. Prepare financial statements for a corporation. Prepare statement of cash flows. Evaluate the financial performance of a business. Apply basic management accounting methods to a manufacturing or services business. Apply proper accounting concepts to facilitate decision making. Explain the importance of ethics in accounting. Prepare a cost of goods manufactured report. Prepare process costing production reports. Analyze cost behaviors. Determine the breakeven point in units and sales dollars. Prepare budgets."
ACCT 206,Accounting Internship,3,"The Accounting Internship Course offers a unique opportunity for aspiring accountants to gain practical experience and invaluable insights into the world of business. This hands-on internship is designed to complement academic learning with real-world applications, providing students with a comprehensive understanding of accounting principles, practices, and professional behavior. Employment will be approximately 12 to 40 hours per week off-campus at the employer’s location within an accounting department. The final grade will be based on a joint evaluation by your instructor and employer. To register for the course, the student must complete the prerequisites and secure employment. The instructor and career services can assist with job placement. Students registered in this internship course are considered Schoolcraft College students with all rights, responsibilities, and privileges of a student. Internships may be paid or unpaid based upon placement. Department approval is required before registering for this course. Prerequisites: ACCT 201 with a minimum grade of 3.0, an overall GPA of 2.5, and consent of department. To register for the course the student must complete the prerequisites and secure employment. The instructor and career services can assist with job placement. Department approval is required before registering for this course. Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Analyze business transactions for real-world scenarios. Perform basic accounting functions for real work scenarios. Maintain accounting records according to employer’s record retention policies. Utilize accounting software and other technology to complete tasks as assigned. Apply internal control procedures used within the accounting department. Examine the significance of ethical conduct in accounting. Relate with staff in a respectful and collaborative manner. Cultivate essential professional skills such as communication, teamwork, time management, and problem-solving. Perform other accounting or business duties as assigned by the supervisor."
ACCT 221,Intermediate Accounting 1,4,"This course further explores these accounting principles used by publicly traded companies, including the methods used to measure and report the financial transactions of corporations. The course focuses on the valuation of assets, such as cash and receivables, investments, inventory and operational assets, but will also include preparation of financial statements, review of financial disclosures and measurement of income and time value of money concepts. Prerequisites: ACCT 202 Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Reconcile the differences between cash and accrual basis accounting. Explain the current trends in the accounting standards setting process. Explain the conceptual framework for accounting standards including: broad principles, basic assumptions, characteristics of accounting information and elements of financial statements. Complete the accounting cycle for business transactions. Prepare a Classified Balance Sheet, including disclosure requirements. Calculate common liquidity, activity, profitability, and coverage ratios. Prepare Income Statements, including disclosure requirements. Compute other Comprehensive Income. Determine proper use of time value of money concepts. Apply current accounting principles to cash, cash equivalents, and receivables. Apply current accounting principles to inventory. Apply current accounting principles to operational assets. Apply current accounting principles to investments. Determine asset impairment. Evaluate internal controls for cash. Identify ethics violations. Identify techniques for fair value measurement."
ACCT 222,Intermediate Accounting 2,4,"In this course you will learn the current accounting methods for liabilities, bond amortization, leases, pensions, income taxes, shareholders’ equity and stock-based compensation. You will prepare the statement of cash flows and statement of shareholders’ equity. In addition, you will learn to allocate income tax expense and compute earnings per share information. Prerequisites: ACCT 202 Corequisites: None. Recommended: None. Course Category: Occupational Check Course Availability Course Competencies Apply current accounting principles to current liabilities. Apply current accounting principles to long term liabilities. Calculate effective interest method for bond amortization. Apply appropriate accounting treatment to leases. Allocate income tax expense. Apply current accounting principles to revenue recognition. Apply current accounting principles to pension plans. Apply current accounting principles to equity transactions. Prepare the Statement of Shareholders’ Equity. Apply appropriate accounting treatment to share-based compensation. Compute earnings per share. Evaluate changes in accounting principles. Correct accounting errors. Prepare the Statement of Cash Flow using direct and indirect methods. Analyze the effect of financial activities on a company’s financial position. Identify subsequent events and related disclosure requirements."
ACCT 226,Cost Accounting,4,"Concepts of cost accounting as a management tool to support business decision making, control and planning will be introduced. The course will explore understanding cost behavior and how to use that understanding to predict future costs. The course focuses on actual and standard cost methods as applied to job and process cost systems; accounting for materials, labor and manufacturing overhead; direct costing method; variance analysis; and cost accounting cases. The use of accounting information to make managerial decisions will be covered. Prerequisites: ACCT 202 . CIS 180 Corequisites: None. Recommended: ACCT 263 Course Category: Occupational Check Course Availability Course Competencies Summarize the benefits of cost/managerial accounting. Explain how cost/managerial accounting is used in organizational decision making. Analyze financial activities and their effect on financial statements. Explain internal controls. Characterize costs based on cost behavior patterns. Apply variable costing methods. Apply absorption costing methods. Apply activity-based costing and explain how it can support pricing and production decisions. Examine cost variances. Prepare budgets and pro-forma financial statements. Apply cost/volume/profit techniques in pricing and production decisions. Apply cost concepts in performance management. Evaluate the concept of constraints and local sub-optimization. Apply non-financial measures in performance management. Utilize data analytics in decision making."
ACCT 238,Federal Tax Accounting,4,"In this course, you will examine federal income tax laws and procedures that relate to individuals, partnerships and corporations. The course will focus on gaining practical skills by preparing tax forms and conducting basic tax research and tax planning. Prerequisites: None. Corequisites: None. Recommended: ACCT 201 Course Category: Occupational Check Course Availability Course Competencies Explain the impact of taxes on society. Explain sources of primary and secondary tax authorities. Determine filing status and exemptions for individuals. Calculate individual federal income tax. Prepare individual federal income tax returns. Determine what income items are taxable and nontaxable. Determine what items are deductible and nondeductible. Calculate tax credits and payments. Calculate capital gains and losses. Calculate long-term asset cost, depreciation and adjusted basis. Investigate a tax issue through basic tax research. Explain the use of technology in tax compliance and planning. Create tax planning strategies for certain situations. Calculate individual federal estate and gift tax. Explain the characteristics of partnership, C corporations and S Corporations."
