course_code,course_name,credit_hours,description
ACCT 189,College Accounting,3,"This course emphasizes bookkeeping and accounting procedures utilized by sole proprietors in the service industry. Focus is on the accounting cycle, double-entry bookkeeping, payroll and basic current and long-term assets and current liabilities. Preparation of worksheets and basic financial statements is studied. This course provides an introduction to accounting and will prepare students for ACCT 211 . This course is highly recommended for students with no previous exposure, education or experience in accounting or business."
ACCT 211,Principles of Accounting I,4,"This course is designed to begin the study of Generally Accepted Accounting Principles (GAAP) and practices used in business. The focus of this course is on Financial Accounting. Students will study the useful application of recording, adjusting, summarizing and reporting financial data significant to the management and control of a business enterprise. Topics studied include accounting for sole proprietorships with the emphasis on service oriented and merchandising firms."
ACCT 212,Principles of Accounting II,4,"This course is designed to complete the study of Generally Accepted Accounting Principles (GAAP) and practices used in business. Students will study the useful application of recording, adjusting, summarizing and reporting financial data significant to the management and control of a business enterprise.  Financial accounting topics studied include cash flow analysis and financial statement analysis.  In addition, students will begin the study of managerial accounting focusing on concepts of accounting for manufacturing firms. Topics covered include cost-volume profit analysis, job order, costing, process costing, activity-bases costing, standard cost variance analysis, budgeting, performance evaluation, differential analysis and capital investment analysis."
ACCT 215,Payroll Accounting,3,This course emphasizes the laws that affect payroll and human resource administration and the application of those laws to the processing of payroll.  This course provides an in-depth study of the processing of and accounting for payroll transactions in a computerized environment.
ACCT 220,Computerized Accounting,3,"Computerized accounting is an accounting course that is designed to provide students with hands-on experience working with a general ledger software package. Concepts learned will be transferable to and from the course software to software packages encountered in the business world. Students will process business simulations to experience the accounting cycle, processing of accounts payable and accounts receivable, accounting for inventory and fixed assets, processing and accounting for payroll and financial statement analysis."
ACCT 241,Federal Income Taxation,3,"This course provides basic concepts in federal income taxation, including gross income, exclusions, adjusted gross income, deductions, exemptions, credits, assignment of income, identification of the taxpayer, tax rates, depreciation, and the alternative minimum tax. It also supplies practical exposure in the preparation of personal returns and an introduction to tax research. Business tax topics may include the Michigan business tax, an introduction to Partnership, Subchapter “S,” and corporate taxes."
ACCT 251,Cost Accounting,4,"This course expands upon the managerial accounting concepts introduced in ACCT 212. Cost accounting is the primary focus with emphasis on understanding cost accounting concepts and how the use of cost accounting data assists managers in making better business decisions. Key topics covered include cost accounting systems, cost behavior, profit planning through budgets both static and flexible, utilizing cost accounting information for decision-making and capital budgeting."
ADN 123,Nursing Assessment,.90,"This course will focus on basic health assessment skills for the adult client. This course includes interviewing skills, obtaining subjective and objective data, basic physical examination techniques, distinguishing between normal and abnormal data, and documentation of findings."
ADN 123L,Nursing Assessment - Clinical Skills,.90,The laboratory component of this course expands on health assessment through practice and application of skills.
ADN 124,Pharmacology for Nurses,2,"The focus of this course is on the delivery of health care, within the nursing profession, relating to the use of pharmaceutical agents to both treat and prevent disease. The foundation of the course utilizes evidence-based concepts and the basic principles of pharmacology, in regard to the adult client receiving pharmaceutical agents. Emphasis is on pharmacotherapeutics, ethical and legal accountability of medication administration, use of components of the nursing process, and integration of pharmaceutical agents applied to patient scenarios."
ADN 125,Principles of Nursing Care (Theory and Nursing Process),4,This course is an introduction to nursing as a profession. Students learn basic concepts and theories of the art and science of nursing. The nurse’s roles as a professional and traditional nursing concepts are introduced. The nursing process is introduced as it relates to evidence-based nursing practice applied to the diverse adult individual.
ADN 125L,Principles of Nursing Care - Clinical Skills,5,"The clinical component of this course introduces the principles and practice of clinical nursing skills using the nursing process in the laboratory and clinical setting. Clinical experience enhances the understanding and adeptness of basic evidence-based nursing care. Principles inherent to the role of nurse as provider of direct care, communicator, teacher, manager, and member of the profession are practiced."
ADN 127,Nursing Care of the Childbearing Family,2,This course is a continued development of the nurse as a professional. The nursing process is used as it relates to the childbearing family with well-defined nursing diagnoses. A holistic approach is used to assist the student to deliver family-centered care to the childbearing family with both normal and abnormal conditions.
ADN 127L,Nursing Care of the Childbearing Family - Clinical Skills,1.5,"The clinical component of this course emphasizes the role of the student in providing direct care to the diverse childbearing family in the acute care and community setting. The role of the nurse as communicator, teacher, manager and member of the profession is continued."
ADN 129,Nursing Care of the Adult,3,This course continues to develop the student as a professional. The nursing process is used as it relates to the medical surgical adult patient with well-defined diagnoses. A holistic approach is used to educate the student on the psychological and physiological care of the diverse adult patient.
ADN 129L,Nursing Care of the Adult - Clinical Skills,3.25,"The clinical component emphasizes the role of the student in providing direct client care. The role of nurse as communicator, teacher, manager, and member of the profession is continued."
ADN 201,Essentials of Adult Nursing Care (Theory and Nursing Process Seminar),4,This course is an introduction to nursing as a profession for LPNs and qualified licensed HCPs. Students learn basic concepts and theories of the art and science of nursing. The nurse’s roles as a professional and traditional nursing concepts are introduced. The nursing process is introduced as it relates to evidence-based nursing practice applied to the diverse adult individual. Offered winter semester only.
ADN 201L,Essentials of Adult Care - Clinical Skills,4,"The clinical skills component of this course introduces the principles and practice of clinical nursing skills using the nursing process in the laboratory and clinical setting. Clinical experience enhances the understanding and adeptness of basic evidence-based nursing care. Principles inherent to the role of nurse as provider of direct care, communicator, teacher, manager, and member of the profession is practiced.  Offered winter semester only."
ADN 223,Advanced Nursing Care of the Adult,3,This course is a continued development of the student as a professional. The nursing process is used as it relates to the medical surgical adult client with well-defined diagnoses. A holistic approach is used to assist the student to deliver care to the adult client.
ADN 223L,Advanced Nursing Care of the Adult - Clinical Skills,3,"The clinical component emphasizes the role of the student in providing direct client care. The role of the nurse as communicator, teacher, manager and member of the profession is continued."
ADN 226,Mental Health Nursing Care,2,"The course continues to develop the student’s knowledge of mental health conditions with a focus on psychosocial assessment, developing rapport, advocacy, respecting rights, and therapeutically communicating with diverse individuals who are encountering mental health issues. The therapeutic use of self, standard treatment interventions, and alternative coping methods are reinforced through implementation of the individualized nursing process."
ADN 226L,Mental Health Nursing Care - Clinical Skills,1.5,"The clinical component introduces and engages the student in providing direct client care for diverse individuals who are encountering mental health issues. The student will use the nursing process to individualize care of the client who has a known or suspected mental health condition. The role of nurse as communicator, teacher, manager, and member of a profession is reinforced throughout the clinical rotation."
ADN 227,Nursing Care of Children,2,"This course builds on the student’s medical/surgical foundation to develop nursing judgement in diverse pediatric and family-centered care. Throughout this course, students will delve into growth and development in pediatric populations from infancy to adolescence and recognize the integral role families play in a child’s health and well-being. As students explore the physiological, psychological, and social aspects that shape the care of children, emphasis will be placed on tailoring nursing interventions to the specific developmental stages and needs of pediatric patients."
ADN 227L,Nursing Care of Children - Clinical Skills,1.5,"The clinical component of this course emphasizes the student’s role in providing direct care to diverse children and family. The role of the nurse as communicator, teacher, manager, and member of the profession is continued."
ADN 228,Nursing Leadership,2,This course is designed to continue developing the student as a graduate nurse and leader. Emphasis is placed on the skills required for managing the care of a group of patients at the graduate level. The principles of critical thinking are applied to guide the student in legal and ethical decision making.
ADN 228L,Nursing Leadership - Clinical Skills,2.5,"Clinical experiences focus on the integration of prior learning as a direct care provider, communicator, and teacher. Emphasis is placed on leadership and management principles; professional responsibilities; and legal and ethical accountability."
ADN 233,Nursing Transition and Care of the Adult II,6,This course will continue to advance the student as a professional. The nursing process is used as it relates to the complex medical surgical adult patient with well-defined diagnosis. A holistic approach is used to educate the student on the psychological and physiological care of the diverse adult individual.
ADN 233L,Nursing Transition and Care of the Adult II - Clinical Skills,2.7,"The clinical component emphasizes the role of the student in providing direct patient care. The role of the nurse as communicator, teacher, manager, and member of the profession is continued."
ADN 234,Nursing Transition: Maternal/Child,3,"This course is a continued development of the transition as a professional. The nursing process is used as it relates to the newborn, child, maternity client, and family with well-defined diagnoses. A holistic approach is used to educate the student on the psychological, physiological, and family-centered care approach to the childbearing family with both normal and abnormal conditions."
ADN 234L,Nursing Transition: Maternal/Child - Clinical Skills,1.5,"The clinical component of this course emphasizes the role of the transition student’s role in providing family-centered care in various settings. The role of the nurse as communicator, teacher, manager, and member of the profession is continued."
ANT 155,Cultural Anthropology,3,"Anthropology is a holistic study of human beings in all times and places. Cultural anthropology, one of the four main subfields of anthropology, focuses on human cultural diversity. This course introduces the key themes, concepts, and methods of cultural anthropology, including the concept of culture and ethnographic methods, and it examines how anthropological knowledge is used to address contemporary human issues."
ANT 171,Introduction to Anthropology,3,"Anthropology is a holistic study of human beings in all times and places. This course introduces the four main subfields of anthropology (cultural anthropology, biological anthropology, linguistic anthropology, and archaeology), examines their contributions to our understanding of human biological and cultural diversity, and discusses how anthropological ideas and methods are applied to solve human problems."
