course_code,course_name,credit_hours,description
ARW 100,Academic Reading and Writing,3,"This is a 3 credit/4 contact hour course that is independently paired with EN 101 , meaning that students enrolled in ARW 100 are also concurrently enrolled in EN 101 . ARW 100 introduces students to the demands and conventions of academic reading and writing. Thus, this course focuses on developing and strengthening students’ ability to read critically, summarize, and analyze various college-level texts used in different disciplines and writing situations."
ANE 200,Introduction to Anesthesia Technology,3,"This course focuses on the fundamentals of Anesthesia Technology, including the profession’s historical, practical, and safety aspects. This will also include the role of the Anesthesia Care Team, the scope of practice and specific duties of the Anesthesia Technologist, and the policies and standards of patient care practice. The course will also introduce the student to various regulatory associations and credentialing and examine future technologies in Anesthesia Technology. Topics covered include malignant hyperthermia, electrical and fire safety, essential patient position monitoring, and inhaled agents. Students will learn how to set up and operate critical equipment for anesthesia care, such as EKG, B/P, and Pulse OX monitors. Course Fee: $263.00"
ANE 210,Fundamentals of Anesthesia Technology I,3,"This course focuses on the basic and advanced aspects of Anesthesia Gas Machines and Anesthesia related equipment. The set-up and function of essential equipment for anesthesia care, anesthesia machine check out, and types of anesthesia will be discussed. Students will learn about the various medical gas cylinders and pipelines used in the medical atmosphere. Hemodynamic and gas monitoring, intravenous lines, and skin preparation will be covered. Transducer set up for various types of surgery. Students will also be exposed to transfusion medicine and preoperative blood management. Topics covered will include the scope of practice, occupational health, electrical safety, fire safety, and the anesthesia workstation. The students will also learn about the severity of latex-allergic patients and being a part of Anesthesia Care. Course Fee: $891.00"
ANE 215,Equipment and Instruments in Anesthesia Technology,3,"This course focuses on the instrumentation utilized in providing anesthesia, hemodynamic monitoring equipment, function, application, and troubleshooting. Invasive and non-invasive, emergent and non emergent. Advanced knowledge of Anesthesia machines will be discussed and examined, as well as intubation equipment techniques and emergency responses. Students will set up and learn the use of complex Anesthesia equipment. Students will diagnose and troubleshoot minor repairs of Anesthesia equipment for proper function and maintenance. Students will demonstrate cleaning, documentation, safety, and asepsis. Students will explore policies and standards for quality assurance and process involvement. In addition, students will identify the various Regulatory Associations and credentialing in Anesthesia Technology. Course Fee: $141.00"
ANE 230,Anesthesia Technology Procedures and Pathophysiology,3,"This course will discuss routine procedures performed by the Anesthesia Technologist, including landmarking, patient positioning, and anesthesia implications of surgical procedures. In addition, the mechanisms and functions of the various body systems when administering anesthetic medication will be discussed. Emphasis will be placed on common pathologies that an anesthesia technologist must be aware of when administering medications, positioning, or performing ventilation techniques. Course Fee: $141.00"
ANE 241,Anesthesia Technology Pharmacology,3,"This course focuses on the pharmacokinetics and pharmacodynamics of drugs used in administering anesthesia and analgesia. Topics covered will include routes of administration, drug interactions, drug metabolism, elimination, and the various classes of anesthetic agents. Intravenous therapy and emergency medications will also be covered. Course Fee: $141.00"
ANE 245,Anesthesia Technology Seminar and Certification Preparation,4,This course serves as a capstone course for the anesthesia technology program. Students will review Anesthesia Technologist career opportunities now and future technologies. Students will discuss clinical scenarios and form patient care plans. Students will prepare for the national technologist credential exam. Course Fee: $141.00
ANE 260,Anesthesia Technology Clinical I,3,"This course is the first of three externship experiences, focusing on integrating the theory, simulation, and practical application of basic skills acquired from previous didactic coursework in the clinical and patient setting. Before entering the clinical and patient care setting, the student will receive Basic Life Support and an Advanced Cardiovascular Life Support card. The student will first observe and then provide support during surgical procedures. Students must maintain a weekly case log of all systems and detailed case reports of direct patient care processes. Students will progress to independently set up and or assess the efficacy of equipment, medications, and technique. Students will evaluate the patient’s circumstance, consult with the Anesthesia provider and assist in the patient’s care. Students will interact with vendors and other departments. Course Fee: $596.00"
ANE 261,Anesthesia Technology Clinical II,4,"This course is the second of three externship experiences, focusing on integrating theory, simulation, and practical skills acquired from previous didactic coursework to be applied in the clinical and patient care setting. The student will progressively function as a member of the Anesthesia Care Team. Interact professionally with vendors and other departments. Students must maintain a weekly case log of all procedures and detailed case reports of processes involving direct patient care. Course Fee: $280.00"
ANE 262,Anesthesia Technology Clinical III,4,"This course is the third and final externship experience, focusing on integrating theory, simulation, and practical skills acquired from previous didactic coursework to be applied in the clinical and patient care setting. The student will progressively function as a member of the Anesthesia Care Team and interact professionally with vendors and other departments. Students must maintain a weekly case log of all procedures and detailed case reports of processes involving direct patient care. Course Fee: $280.00"
AN 201,Introduction to Anthropology,3,"Introduces students to the field of Anthropology. Includes the biological, cultural, linguistic, and archaeological study of humans from a holistic perspective. Anthropological frameworks are used to addresses questions about what makes us human, why cultures vary so much, and how the human past has shaped contemporary society."
AN 205,Introduction to Archaeology,3,An introduction to prehistoric and historic archaeology. This course examines how archaeologists use material cultural remains to reconstruct the human past in order to answer meaningful anthropological questions.
AN 210,Introduction to Cultural Anthropology,3,"A survey of the different theories and methods employed by cultural anthropologists. Emphasis is placed on understanding the intersection of individuals, culture, and society along with exploring the full range of human cultural adaptations that includes non-western and traditional cultures. Specific case studies are used to highlight the application of anthropological method and theory to address contemporary global issues."
AN 280,Native American Culture,3,"Examines the various cultures and histories of Native Americans, concentrating on those cultures found in North America. Examines the prehistoric background, contact with Europeans, and the changes that took place in Native cultures as a result of that contact. Also examines the current cultural conditions of Native Americans."
ARA 101,Introductory Arabic I,4,"Introductory Arabic is a beginning-level course in Modern Standard Arabic (MSA). MSA is the language used throughout the Arab world: the Middle East. Although dialects in each region differ, MSA unites all Arabs and allows them to communicate with each other. This course offers instruction and practice in the four language skills of reading, writing, listening, and speaking and introduces the pronunciation, vocabulary and basic grammar of MSA Arabic. Two dialects are taught alongside MSA, in cultural contexts, using realia, video, and readings."
ARA 102,Introductory Arabic II,4,"Introductory Arabic is a continuation of the beginning-level course in Modern Standard Arabic (MSA). MSA is the language used throughout the Arab world: the Middle East. Although dialects in each region differ, MSA unites all Arabs and allows them to communicate with each other. This course offers instruction and practice in the four language skills of reading, writing, listening, and speaking and introduces the pronunciation, vocabulary and basic grammar of MSA Arabic. Two dialects are taught alongside MSA, in cultural contexts, using realia, video, and readings, along with discussion about the Arab world (geography, lifestyles and attitudes)."
AR 103,Building Codes and Standards,2,"In this course, the students are introduced to the application of commercial buildings codes by referencing the International Building Code (IBC) as published by the International Code Council (ICC). Students explore building regulations and standards to gain knowledge of the implication of building codes on the design outcomes of a building."
AR 105,Construction Materials I,3,In this course students apply fundamental construction principles and the use of materials and methods for both commercial and residential building based on the Construction Specification institute’s (CSI) Master Format. Students are introduced to the Architectural Technology Program and to the concepts of sustainable building practices. This course includes CSI Divisions 1 through 6.
AR 106,Construction Materials II,3,"In this course students apply fundamental construction principles and the use of materials and methods for both commercial and residential building based on the Construction Specifications Institute’s (CSI) MasterFormat. This course covers the CSI divisions related to thermal and moisture protection, openings, finishes, and an introduction to plumbing, HVAC, and electrical divisions."
AR 111,Orientation to Architecture,2,"This introductory course to Architecture exposes students to the history of contemporary architecture, design, the profession of architecture and related fields of study."
AR 112,Mechanical and Electrical Drafting,3,"In this course, students will be introduced to basic building systems. More specifically, they will study the design and documentation of electrical power, lighting, HVAC, water supply, waste water, communication, life safety, and security systems for a building."
AR 119,Introduction to Architectural CAD,3,"In this course, students use CAD (Computer Aided Design) to generate graphics to create architectural drawings. Study includes terminology, techniques, and application of CAD. Students create floor plans, site plans, elevations, and sections. Autodesk AutoCAD is the software used to create 2D drawings."
AR 120,Architectural Working Drawings I,4,"This course is a study of how a commercial building is assembled. A typical light commercial structure is created using Building Information Modeling (BIM). Code restrictions, material use, and construction methods are emphasized. Students take the Autodesk Revit Architecture Certified Examination during the course. It is recommended that students have a working knowledge of Building Information Modeling (BIM) using Autodesk Revit Architecture before enrolling in this course."
AR 121,Architectural Working Drawings II,3,"This course is a continuation of AR 120 and focuses on functional and aesthetic construction principles for commercial buildings. It includes analyzing and applying codes and regulations, understanding of accepted standards, review and selection of materials, detailing construction, and building documentation."
AR 125,Print Reading and Specifications,3,"Students apply fundamental principles, methods and techniques in the reading, interpreting, and understanding of construction documents. Both prints and specifications of commercial and residential buildings are studied. Students learn quantity takeoffs of buildings."
AR 129,Introduction to Building Information Modeling (BIM),3,"Students learn the fundamentals of Building Information Modeling (BIM) using Autodesk Revit software. This course introduces concepts and features of BIM and basic architectural terminology. It includes software structure and features, modeling and editing techniques, and sheet creation and organization. This is a starter course in the Architectural Programs. Course Fee: $15.00"
AR 201,Architectural Graphics I,3,"Students use manual drafting and sketching to learn architectural drawing. Students learn to pictorially represent buildings by drawing floor plans, wall sections, building sections, elevations, isometrics, 3D sketches of interiors and exteriors, one-point and two-point perspectives, shades and shadows, and renderings. Course Fee: $15.00"
AR 202,Architectural Graphics II,3,Students will utilize basic architectural design concepts to explore architectural form and space. This course exposes students to varying representative techniques to create architectural graphics. Current industry software will be used to create digital presentations. Four hours lecture/lab offered winter only. Course Fee: $15.00
AR 218,Sustainable Residential Design,3,"In this course students learn guidelines for the planning and designing of a sustainable home. During the process, students analyze the building site, use sustainable technology and materials, and apply building codes and residential construction techniques. Students use architectural drafting tools and write case studies on specific materials or techniques to develop a comprehensive design for a residential structure."
AT 105,History of Art Before 1400,3,"This course is a comprehensive mediated lecture/discussion of all the major global art periods of the past from the Prehistoric era through the 14th century, including an introduction to the arts of Asia, Africa, and Native Americas. Through the study of art, students gain knowledge/appreciation for each culture’s values, understand the influence of those cultures and their influence on the world, and recognize development of styles. The course thus fosters respect and curiosity for different cultures, and encourages an attitude of life-long learning."
AT 106,History of Art Since 1400,3,"This course is a comprehensive mediated lecture/discussion of all the major global art periods of the past from 1400 to today, including an introduction to the arts of Asia, Africa, and Native Americas. Through the study of art, students gain knowledge/appreciation for each culture’s values, understand the influence of those cultures and their influence on the world, and recognize development of styles. The course thus fosters respect and curiosity for different cultures, and encourages an attitude of life-long learning."
AT 130,Two Dimensional Design I Principles,3,"This course focuses on the study of design elements and principles of composition as applied to the two dimensional picture plane, through the use of various traditional black and white media and computer graphic software. Course Fee: $20.00"
AT 131,Color,3,"This course includes the study and application of color theories and concepts using gouache paint. Emphasis is on perceptual skills, color mixing, application to design, understanding three dimensional form, and spatial relationships. Course Fee: $20.00"
AT 132,Digital Foundation,3,This class is an introduction to the basics of understanding digital processes and improving visual skills and concept development through the use of digital production tools.
AT 139,Drawing for Personal Interest,3,"This course is offered to students who are interested in learning to draw. Students are introduced to basic drawing techniques, applied to still life and portrait studies, using black and white media. Emphasis is placed on skill building and artistic growth. AT 139 does not apply towards a drawing requirement. Students needing a drawing requirement should take AT 140 . Course Fee: $20.00"
AT 140,Drawing I,3,"This course focuses on basic drawing techniques, applied to still life and portrait study, using black and white media. This course is offered to students needing to fulfill a drawing requirement. Emphasis is placed on rigor and acquiring skills to build a strong portfolio for transfer to a four-year institution. Course Fee: $20.00"
AT 141,Drawing II,3,"This course is a continuation of AT 140 , plus a study of the clothed model, focusing on improving technical and compositional skills, using various black and white and color media. Course Fee: $20.00"
AT 150,Three Dimensional Design,3,"This course focuses on the application of three dimensional design concepts using paper, wood, metal, clay, plaster and mixed media to create artworks. Course Fee: $20.00"
AT 160,Painting for the Non-Art Major,2,This course is offered to non-art majors who are interested in learning how to paint in oils. The course emphasizes traditional painting techniques and applying color sensitivity to still-lifes as subject matter. This course does not meet the requirements for art majors. Course Fee: $20.00
AT 214,Painting I,3,"In this course, students learn traditional painting techniques, applying color sensitivity to still-lifes through the use of oil paints. Course Fee: $20.00"
AT 215,Painting II,3,"This course is a continuation of traditional practices plus contemporary techniques, to emphasize originality and experimentation using the human form as subject matter and oil as the medium. Life Drawing is recommended before taking this course. Course Fee: $20.00"
AT 216,Digital Painting,3,"In this course, painting concepts are explored through digital processes utilizing standard industry software. Course Fee: $20.00"
AT 222,Introduction to Pottery,3,"This course is designed to introduce students to the discipline of hand-building in ceramics. Students learn the technical processes involved in forming clay through pinch pots, coil pots, slab pots, and kiln firing techniques. Students use a variety of basic glaze applications. Upon completion of the course, students demonstrate a knowledge of the methods, as well as an understanding of the craftsmanship and aesthetics involved in contemporary and historical ceramics. Course Fee: $20.00"
AT 223,Pottery: Throwing,3,This course is designed to introduce students to the discipline of wheel throwing in ceramics. Students focus on the potter’s wheel and continue to expand the techniques of hand-building. Students demonstrate a wide variety of forms using both processes. Advanced glaze and clay chemistry are covered. Course Fee: $20.00
AT 230,Life Drawing I,3,This course focuses on drawing the human form through the study of the skeleton and a nude model using black and white media. Course Fee: $20.00
AT 231,Life Drawing II,3,"This course is a continuation of AT 230 plus study of the muscular system using black and white, and color media. Course Fee: $20.00"
AT 240,Jewelry,3,This course focuses on the fabricating and forging techniques of traditional and contemporary jewelry design. Course Fee: $20.00
AT 245,Introduction to Sculpture,3,"This course is the study of additive/subtractive processes, modeling processes, castings processes, welding processes and assemblage processes using various materials to create artworks. Course Fee: $20.00"
AT 260,Graphic Design I,3,"This course introduces the technical and creative aspects of graphic design, the design process, and the industries of design. Students are exposed to preparing artwork for print and digital production in both traditional and digital environments. Characteristics of different design environments and movements, design principles, typography, color and new media are also explored. Course Fee: $20.00"
AT 261,Graphic Design II,3,"This course emphasizes advanced technical and creative aspects of graphic design, the design process, and industries of design. Students are exposed to preparing artwork and copy for print and electronic production in both traditional and digital environments. Characteristics of different design environments and movements, typography, color theory and digital media are also explored. Course Fee: $20.00"
AT 270,History of Architecture,3,"A comprehensive mediated lecture/discussion of the major architectural styles, master buildings, and master architects from prehistory to post Modernism today. Structures are examined in terms of design, style, construction technologies, site considerations, functionalism, symbolism, and historical/social significance/impact. Special attention is given to Modernism and its historical antecedents."
AT 271,History of Modern Art,3,"This course is an investigation of the major art trends in Europe and the Americas from 1850 to the present, focusing on issues of artistic styles, techniques, interpretation of subjects, and social context. Special attention is given to the masters of modern painting."
AT 272,History of Interior Design,3,"This course is a comprehensive mediated lecture/discussion of all the major global art periods of Interior Design from prehistory to today. Through the study of Interior Design, students gain knowledge/appreciation for each culture’s values, understand the influence of those cultures and their influence on the world, and recognize the development of styles. The course thus fosters respect and curiosity for different cultures and encourages an attitude of life-long learning."
AS 102,Introductory Astronomy,3,"A descriptive survey of our understanding of the universe. Topics include the stars, planets, galaxies and the universe as a whole. This course examines the ideas covering the birth, life and death of stars, planetary formation and environments, and also the ideas about the creation, structure and possible futures of the universe. This is a non-laboratory course for non-science majors. Students who require a laboratory science course should enroll in AS 103 . Credit toward an Associate Degree will only be given for either AS 102 or AS 103, but not for both."
AS 103,Descriptive Astronomy,4,"A descriptive survey of our understanding of the universe. Topics include cycles of the sky; astronomical history; the birth, life and death of stars; galaxies and cosmology; and planets. The laboratory portion emphasizes observations of the night sky, learning sky motions and investigating astrophysical phenomena. This course satisfies the general education requirement for a laboratory science course for non-science majors. Credit toward an Associate Degree will only be given for either AS 102 or AS 103, but not for both. Recommended Skills: Students should have an upper-moderate level of abilities for visualization of spatial relationships (relative position, size, distance). Course Fee: $15.00"
AS 106,The Solar System and Extra-Solar Planets,4,"This course is an introduction to the solar system and comparative planetology. It covers the apparent motion of the sky (Sun, moon, planets), the seasons, lunar phases, eclipses, Newton’s laws of motion and gravity, tides, telescopes, the planets and moons of our solar system, solar system debris, the theories of the formation of the solar system, the discovery and observation of extra-solar planets, and the possibility of life on other worlds. Course Fee: $10.00"
AS 108,"Stars, Galaxies and Cosmology",4,"This course is an introduction to our understanding of stars, the galaxies holding them, and the theories of the formation and structure of the universe as a whole. It covers observations of the sky (stars, asterisms and constellations) and its motion, the Sun, the interstellar medium, stellar birth and evolution, the death of low and high mass stars and their end states (neutron stars, pulsars, black holes, etc.), the Milky Way, galaxies, active galaxies and quasars, and provides an introduction to ancient and modern cosmology. This course includes a lab component. Course Fee: $10.00"
AUT 102,Introduction To Automotive Service,2,"Active learning of essential functions performed by automotive technicians. Students learn how to safely utilize automotive tools and equipment, tighten fasteners to specifications, complete vehicle inspections, and perform maintenance procedures. Students explore careers in automotive technology and examine the certifications required to work as an automotive technician. Course Fee: $15.00"
AUT 103,Automotive Engine Design and Servicing,4,"This course covers design, theory, and operation of the internal combustion engine; disassembly, identification, and inspection of automotive engines; use of service information; shop procedures; and shop safety. The content of this course meet ASE Education Foundation standards for Engine Repair (A1). Recommended Skills: Automotive Technology students must possess the ability to read and comprehend complex technical information and instruction. Course Fee: $20.00"
AUT 110,Auto Electrical Systems,3,"In this course students explore fundamentals of automotive electricity. Course content emphasizes electrical troubleshooting skills using wire diagrams, digital multimeters, and test lights. Students also learn the operation and testing of batteries, starting, and charging systems. This course is meets Automotive Service Excellence (ASE) Education Foundation standards for instruction in the area of Automotive Electrical/Electronic Systems (A6). Course Fee: $15.00"
AUT 130,Automotive Engine Performance I,2,"In this course, students are introduced to Engine Performance inputs, outputs, and control units. Students participate in hands-on training related to diagnosis, service, and repair of engine intake and exhaust systems, fuel and ignition systems, and emission system components. Combined with AUT 160 and AUT 210 , this course helps meet ASE Education Foundation training standards in the area of Engine Performance (A8). Recommended Skills: Automotive Technology students must possess the ability to read and comprehend complex technical information and instructions. Course Fee: $20.00"
AUT 140,Manual Transmissions and Drivelines,2,"In this course, students learn inspection procedures and service of manual transmissions and transaxles, clutches, driveshafts, axles, and differentials. The effective use of service information and resources is emphasized. The content and hands-on tasks in this course meet ASE Education Foundation standards related to Manual Drive Train & Axles (A3). Course Fee: $15.00"
AUT 143,Automotive Air Conditioning and Heating,2,"In this course, students learn about the design and operation of automotive heating, air conditioning, and engine cooling systems. Through hands-on practice, students learn to maintain, diagnose and service the components in these systems. Proper service procedures and shop safety are emphasized. This course meets ASE Education Foundation standards for instruction in Heating & Air Conditioning (A7). Course Fee: $15.00"
AUT 147,Automotive Brake Systems,3,"In this course, students learn about brake system design, components, and specifications. Students learn how to inspect, diagnose, and service disc, drum, parking brake, and anti-lock systems. This is a hands-on course that meets ASE Education Foundation standards for accreditation in the area of Brakes (A5). Recommended Skills: Automotive Technology students must be able to read and comprehend complex technical information and instructions. Course Fee: $20.00"
AUT 148,"Automotive Suspension, Steering, and Alignment",3,"In this course, students learn theory, operation, and service procedures of tire and wheel assemblies, suspension systems, and steering systems. Students also learn wheel-alignment principles and procedures. The study and hands-on learning in this course meet standards specified by the ASE Education Foundation in the area of Suspension and Steering (A4). Recommend Skills: Automotive Technology students must be able to read and comprehend complex technical information and instructions. Course Fee: $20.00"
AUT 155,Automotive Detailing and Reconditioning,2,"Students in this course learn how to assess vehicle condition and develop a plan for cleaning, reconditioning, and detailing interiors, exteriors, and painted surfaces. Repair of windshield and headlamp surfaces are also covered. The course content emphasizes selection and application of proper automotive cleaners and chemicals, along with the use of related tools and equipment. Students will examine automotive detailing industry trends, define customer service goals, and explore business opportunities."
AUT 160,Automotive Driveability Diagnostics,2,"Students in this course learn to diagnose engine performance and driveability problems in a logical, systematic manner. The use of diagnostic tools and equipment are emphasized through extensive hands-on application and practice. Along with AUT 130 and AUT 210 , this course helps meet ASE Education Foundation accreditation standards in the area of Engine Performance (A8). Recommended Skills: Automotive Technology students must be able to read and comprehend complex technical information and instructions."
AUT 171,Applied Automotive Maintenance and Service I,2,"This course provides students with hands-on experience and opportunities to practice using automotive service tools and equipment. Students will learn how to perform inspections, maintenance, and light repair. Students will be introduced to service-management concepts, including repair order processing, time management, and shop organization. Course Fee: $25.00"
AUT 172,Applied Automotive Maintenance and Service II,2,"This course provides students with hands-on experience and opportunities to practice using automotive service tools and equipment. Students will perform vehicle inspections, maintenance, and light repair tasks. Repair-order processing, time management, and shop organization will be practiced. Course Fee: $25.00"
AUT 180,Applied Auto Servicing,4,"This course provides students with real-world experience in automotive service and repair. Students practice inspection, diagnosis, and service procedures. Students learn and apply effective service-management concepts, including repair order processing, time management, and customer service."
AUT 181,Internship in Automotive Technology I,4,"This course provides opportunities for supervised, work-based training and experience in the field of automotive technology. The work setting will focus either on vehicle maintenance and repair or on specialized work in the automotive industry. This paid or unpaid internship experience emphasizes the roles and responsibilities of an entry-level automotive technician or specialist. Safe, ethical shop policies and procedures are emphasized. Students are responsible for securing their own internship site. A list of potential approved types of internship sites is available through the Automotive Technology Department Head. Each internship site and position must receive prior approval from the Automotive Technology Department Head before the start of the semester. Basic hand tools and a tool-storage box may be required by the employer for participation in an internship. Students should work a minimum of 20 hours/week, for a total of at least 120 hours within the semester. Students must also attend the scheduled meetings with the faculty coordinator. Classroom-meeting requirements include an internship-orientation meeting and a session of ASE Student Certification testing. The faculty coordinator will visit the internship site during the internship to assess both the student and the site. Recommended Skills: Students in Automotive Technology courses must be able to read and interpret complex written service information and instructions."
