"Course Subject Code","Course Number","Course Title","Credits - Credit Hours - Credit Hours Min","Credits - Credit Hours - Credit Hours Max","Credits - Credit Hours - Credit Hours Value","Credits - Credit Hours - Credit Hours Operator","Credits - Contact Hours - Contact Hours Min","Credits - Contact Hours - Contact Hours Max","Credits - Contact Hours - Contact Hours Value","Credits - Contact Hours - Contact Hours Operator","Credits - Billing Hours - Billing Hours Min","Credits - Billing Hours - Billing Hours Max","Credits - Billing Hours - Billing Hours Value","Credits - Billing Hours - Billing Hours Operator","Credits - Lecture Hours - Lecture Hours Min","Credits - Lecture Hours - Lecture Hours Max","Credits - Lecture Hours - Lecture Hours Value","Credits - Lecture Hours - Lecture Hours Operator","Credits - Lab Hours - Lab Hours Min","Credits - Lab Hours - Lab Hours Max","Credits - Lab Hours - Lab Hours Value","Credits - Lab Hours - Lab Hours Operator","Credits - Other Hours - Other Hours Min","Credits - Other Hours - Other Hours Max","Credits - Other Hours - Other Hours Value","Credits - Other Hours - Other Hours Operator","Credits - Course Count","Credits - Repeatable","Credits - Number Of Repeats","Credits - Number Of Credits","Course Description"
"ART","202","20TH CENTURY ART HISTORY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","202 20TH CENTURY ART HISTORY   3(3-0)

Explore contemporary trends in painting and sculpting. Class materials supplemented with slides, text and videos while engaging students with major movements and developments in Europe and United States. Includes study of Impressionism and Post-Impressionism as foundations for understanding twentieth-century ideas.  

Prerequisite: None"
"ELEC","106","A. C. ELECTRICITY","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","106  A.C. ELECTRICITY   3(2-2)

Beginning course in AC electricity.  Topics include average, effective, peak, period and frequency of a  sine wave.  Reactance, impedance and phase relationship of current and voltage in R-C, R-L and RLC circuits.  Resonance, time constants and complex numbers covered. Circuit construction from schematics and use of oscilloscopes and multimeters in lab.

Prerequisites: ELEC 100

Additional Course Fee: $25.00"
"PSYC","231","ABNORMAL PSYCHOLOGY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","231  ABNORMAL PSYCHOLOGY     3(3-0)

Descriptions of cognitive, affective and behavioral disorders.  Origins of specific disorders considered along with nature and problem of diagnosis and classification, and contemporary modes of treatment.  

Prerequisites: PSYC201 (may be taken concurrently)"
"BUSA","265","ACCOUNTING CO-OP I","3","-","-","-","16","-","-","-","3","-","-","-","1","-","-","-","15","-","-","-","-","-","-","-","-","-","-","-","265 ACCOUNTING CO-OP I   3(1-15)

Students work in approved accounting position to gain on-the-job training. Requires minimum 15 hours of work per week. Each student meets one hour per week with advisor in related class.

Prerequisites: None

Additional Course Fee: $35.00"
"BUSA","266","ACCOUNTING CO-OP II","3","-","-","-","16","-","-","-","3","-","-","-","1","-","-","-","15","-","-","-","-","-","-","-","-","-","-","-","266 ACCOUNTING CO-OP II   3(1-15)

Requires minimum 15 hours of work per week. Application must be placed with coordinator to participate in class.

Prerequisites: None

Additional Course Fee: $35.00"
"BUSA","212","ACCTG APPLICATIONS ON COMPUTER","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","212 ACCOUNTING APPLICATIONS ON COMPUTERS    3 (3-0)

Computer applications for accounting including general ledger, accounts receivable, accounts payable, depreciation and payroll, and spreadsheet accounting.

Prerequisites: CIS 100 (may be taken concurrently) and BUSA 201 or BUSA 101"
"CHDV","212","ADMIN OF EARLY CHILD PROGRAMS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","212 ADMINISTRATION OF EARLY CHILDHOOD PROGRAMS   3 (3-0)

This course addresses the administrative responsibilities of operating an early childhood program. Topics addressed include developing a program philosophy and budget, choosing a site and designing the environment, hiring and supervising staff, planning curriculum, and involving parents. Students will interact with a program administrator to better understand that role and work in groups to design a model program. This course will include 10 hours of field observation/shadowing a program center director in an early childhood education setting. This course is designed as a capstone course for students in the Child Development program in their final year. 

Prerequisites: CHDV 110 and 111 and 112 and 113"
"FORL","251","ADV.WRIT./ORAL SPANISH","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","251   ADVANCED ORAL AND WRITTEN SPANISH   3(3-0)

Concentration on improvement in written and oral expression in Spanish based on selected readings in modern Spanish literature.  Lectures, discussion, resumes, student presentations and short papers in Spanish, with extensive and intensive reading assignments.  Classes conducted in Spanish. 

Prerequisites: FORL 222"
"CIS","264","ADVANCED C++ PROGRAMMING","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","264 ADVANCED C++ PROGRAMMING   3 (3-0)

This course is a continuation of CIS164 with more emphasis on top-down, modular, structured design and techniques involved in the production of large computer programs. Advanced language features such as web application, database, file access, object-oriented programming, graphics, and animation are covered.  A team programming project will be assigned.

Prerequisites: CIS 164

Additional Course Fee: $30.00"
"ENGR","210","ADVANCED CAD TECHNIQUES","3","-","-","-","4","-","-","-","4","-","-","-","1","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","210  ADVANCED CAD TECHNIQUES   3(1-3)

Advanced CAD Techniques is a course designed to expose the students  to commonly used design software.  Topics include  threads and fasteners, the application of tolerances, ordinate dimensioning, baseline dimensioning, hole charts, creating a CAD part template and drawing template, and assigning physical properties to a 3-Dimensional part.

Prerequisites: ENGR 113

Additional Course Fee: $60.00"
