course_code,course_name,credit_hours,description
HEAL-101,Nutrition Basics for the Consumer,2,"Contact Hours Pre-requisite: Placement into RDNG-030 (ACSR-030), completion of ELAP-110 with a minimum grade of 0, or successful completion of RDNG-016 or ACLT-074 with a minimum grade of Nutrition Basics for the Consumer is designed to give students the opportunity to demostrate practical knowledge of nutrition pricnciples and understand how nutrition can positively and/or negatively affect health. Students will actively participate in required reading, class discussion, and apply theoretical knowledge and best practices to develop personalized nutrition plans to meet health goals. * This course does not meet the requirement for the nursing curriculum. Course Outcomes Recall the general guidelines to healthy eating and how the Daily Reference Index helps establish these recommendations Identify macronutrients and micronutrients and how they fuel the body and provide our body to perform functions Analyze and describe how human energy is measured, how it is stored in the body and the types of energy systems Define metabolism as it relates specifically to Basal Metabolic Rate and Resting Metabolic Rate Describe the function, classifications and examples of carbohydrates, proteins and fats. Recall how they are metabolized and evaluate their health impact Comprehend the role and function of hydration, vitamin and minerals in our diet. Relate their importance for health and how to meet hydration needs and goals Demonstrate the ability to interpret food labels, ingredient lists and label health claims as a nutrition consumer Analyze how body weight and composition impacts our health. Identify weight gain or weight loss strategies through proper nutrition and exercise."
MUS.-201,Music Recording,3,"Contact Hours Placement into RDGN-016 (ACSR-016). Take Mus.-105 or MUS.-106; Minimum grade An exploration of recording music in a studio environment. Students will learn the fundamental concepts of recording audio using digital recording software and hardware, as well as editing, mixing and procducing work suitable for diverse media applications. Course Outcomes Record music in a studio environment Demonstrate, through completed assignments, a familiarity with industry-standard recording software and hardware Identify the different needs for recording voice as well as instruments Demonstrate proficiency in utilizing different microphones Create a mastered mix of recorded assignments Export original music from software to burn on a CD and convert to mp"
SLIE-243,Summer Practicum,1,"Contact Hours Pre-requisite: Placement into ENGL-100 (ACSR-100), completion of ELAP-120 with a 0, or completion of RDNG-030, ACLT-075 or ACLT-076; Minimum grade of 0 in SLIE-240 and SLIE-230 or Associate’s or Bachelor’s Degree from any state of Michigan recognized ITP program. Note: Student must provide their own earbuds and transportation. During Summer Practicum, student interns are able to take advantage of mentoring through their internship placements, mock interpreting, observation of professionals in the field, and potentially authentic hands - on interpreting practice in accordance with Michigan Law regarding student interpreters. Curriculum will focus on interpreting skills and professional conduct. Students will study and practice the application of the Registry of Interpreters for the Deaf Code of Professional Conduct (CPC). Classroom discussions and assignments will focus on the CPC and Demand and Control Schema for problem solving, preparation, and professionalism in general. Students will also engage in skill building activities in the classroom. Course Outcomes Increase and improve upon skills required for success in professional Sign Language Interpreting and attainment of certification (voice a signed message into standard, grammatically correct spoken, English Interpret a message delivered in spoken English into grammatically correct ASL, Transliterate a message delivered in spoken English into Conceptually Accurate Signed English) Enhance and develop understanding of strategies and approaches for ethical decision making in a variety of interpreter scenario situations as guided by the Professional Code of Conduct and the Demand and Control Schema approach Increase development of English and ASL vocabulary"
TECH-101,Survey of Technology Careers,2,"Contact Hours Pre-requisite: Placement into ACLT-074 or RDNG- This course introduces a range of technology careers and the requirements for them. In addition to learning about the careers, students also learn job search skills for those particular careers and advancement pathways after entering the field. Course Outcomes Describe occupations in the technology field Describe common safety practices and compliance in technology fields Specify educational opportunities in technology degree programs Participate in exploratory activities within a variety of technology fields Create a technology-based life/work portfolio"
ACLT-074,Integrated Reading and Writing I,5,"Contact Hours Pre-requisite: Placement into ACLT-074 or RDNG-016 (ACSR-016). ACLT 074 is an integrated reading and writing course for students who need to strengthen their academic skills and their approach to learning. Successful students will be ready for placement in subsequent reading and writing courses. Course Outcomes Apply pre-, during and after reading strategies. Use pre-, during and after writing processes. Read and write for a variety of purposes and intended audiences. Identify the topic, main ideas/thesis, and supporting details as a reader and a writer. Write about what you are reading to explore connections between the writer’s and your own ideas. Express ideas clearly through writing at the sentence and whole essay level. Develop vocabulary and word choice awareness as a reader and a writer. Exchange ideas respectfully during reading and writing discussions. Contribute to a supportive classroom community through active and respectful participation, daily attendance, completing homework and paying attention in class. Plan for success by managing your time and maintaining an organized ACLT-074 notebook for class handouts and writings. Use academic computing tools such as MW word, google apps, Blackboard courseware or learning websites and MCC email. Format formal documents in the MLA style. Assess your learning in order to monitor progress toward college success. Develop the persistence necessary for success in college."
ACCT-101,Applied Accounting,4,Contact Hours Pre-requisite: Placement into ACRD- Applied Accounting concentrates on the application of financial accounting principles using general ledger software. Topics include accounting for cash and payroll a service business and a merchandising business.
ACCT-105,Computerized Accounting,2,"Contact Hours Pre-requisite: Placement into RDNG-030 (ACSR-030), completion of ELAP-110 with a minimum grade of 0, or successful completion of RDNG-016 or ACLT-074 with a minimum grade of Pre- or Co-requisite: ACCT-101 or ACCT-201 . Students will have hands-on experience in setting up an accounting system for a new or existing company using accounting software. Students also will learn how to perform numerous types of accounting procedures using commonly used accounting software. Course Outcomes Students will be able to develop a chart of accounts for a service business using accounting software. Students will be able to prepare and enter adjusting entries using accounting software. Students will be able to prepare accurate financial statements using accounting software. Students will be able to enter budgets and analyze company performance using accounting software."
ACCT-107,Payroll Accounting,2,Contact Hours Placement into RDNG-030 (ACSR-030) or successful completion of RDNG-016 or ACLT-074 with a minimum grade of 0 This course emphasizes the specifics of accounting for payroll utilizing the principles of accounting. Students receive experience in calculating payroll completing payroll taxes and preparing records and reports in addition to learning to calculate transmit and verify payroll electronically. Course Outcomes Students will describe the major provisions of the Fair labor Standards Act. Students will be able to calculate payroll. Students will be able to complete payroll taxes. Students will be able to collect payroll data and prepare payroll records and reports.
ACCT-201,Principles of Accounting I,4,"Contact Hours Pre-requisite: Placement into RDNG-030 (ACSR-030), completion of ELAP-110 with a minimum grade of 0, or successful completion of RDNG-016 or ACLT-074 with a minimum grade of Pre-requisite: MATH-082 or Placement Test recommendation for MATH-120 or higher. Principles of Accounting I concentrates on financial accounting. Topics include accounting theory, financial reporting, basic accounting cycle, and accounting for cash, inventories, receivables, payables, plant assets and stockholders’ equity. The course will also include an introduction to accounting data analytics. Course Outcomes Analyze the impact of external transactions on the accounting equation. Assess whether the impact of external transactions results in a debit or credit to an account balance. Record transactions in a journal using debits and credits, post to T accounts, and prepare a trial balance. Demonstrate the purposes and recording of adjusting and closing entries. Post closing entries and prepare a post-closing trial balance. Reconcile a bank statement. Account for notes receivable, interest revenue, and record an allowance for future uncollectible accounts. Determine the cost of goods sold and ending inventory using different inventory cost methods. Calculate depreciation of property, plant, and equipment, amortization of intangible long-term assets, and account for the disposal of long-term assets. Account for notes payable and interest expense and employee/employer payroll liabilities. Account for the issuance of bonds, common stock, and treasury stock. Describe retained earnings and record cash dividends. Prepare and analyze the stockholders’ equity section of a balance sheet and the statement of stockholders’ equity. Prepare the operating and investing activities section of the statement of cash flows using the indirect method. Perform vertical & horizontal analysis and use ratios to analyze a company’s risk & profitability. Demonstrate ability to use data analytic skills to provide guidance in making better business decisions."
ACCT-202,Principles of Accounting II,4,"Contact Hours Pre-requisite: Placement into RDNG-030 (ACSR-030), completion of ELAP-110 with a minimum grade of 0, or successful completion of RDNG-016 or ACLT-074 with a minimum grade of 0; MATH 082 or Placement Test recommendation for MATH-120 or higher; ACCT-201 . Principles of Accounting II concentrates on managerial accounting. Topics include job and process cost systems, cost-volume analysis, budgets and capital budgeting, equity investments, time value of money, long-term liabilities, and accounting for quality and cost management. This course utilizes algebra and computer skills including data analytics. Course Outcomes Compute cost of goods sold for a manufacturer and for a merchandiser. Prepare a schedule of cost of goods manufactured and explain its purpose and links to financial statements.. Describe and record the flow of materials, labor and overhead costs in job order costing. Determine adjustments for overapplied and underapplied factory overhead. Record the flow of materials, labor and overhead costs in process costing. Record the transfer of goods across departments, to Finished Goods Inventory, and to Cost of Goods Sold. Allocate overhead costs to products using the plantwide overhead rate method, departmental overhead rate method, and activity-based costing. Determine cost estimates using the scatter diagram, high-low, and regression methods of estimating costs. Compute the break-even point for a single product company. Compute unit cost under both absorption and variable costing. Prepare and analyze an income statement using absorption costing and using variable costing. Convert income under variable costing to the absorption cost basis. Determine product selling price based on absorption costing. Prepare the operating budget components of a master budget-for a manufacturing company. Prepare a cash budget and budgeted financial statements. Prepare a flexible budget and interpret a flexible budget performance report. Compute materials and labor variances and overhead controllable and volume variances. Prepare a responsibility accounting report using controllable costs. Allocate indirect expenses to departments. Prepare departmental income statements and contribution reports. Identify relevant costs and apply them to managerial decisions. Compute payback period, accounting rate of return, net present value, and internal rate of return and describe its use. Compute cash flows from operating, investing and financing activities using the indirect method. Prepare a statement of cash flows. Conduct thorough and insightful data analysis, and interpret the results correctly using calculated, detailed and useful business information."
